URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-41d8-60422ad9af2e-18f4cc1-b770-7538,"Norte-Centro Histórico, Barranquilla, Atlántico",3 habitaciones,6 baños,577 m²,Casa,6.0,$ 3.400.000.000
https://www.properati.com.co/detalle/14032-32-2f55-e6dd86559d81-9e143cd2-9c84-361d,"Barranquilla, Atlántico",4 habitaciones,6 baños,440 m²,Casa,6.0,$ 3.000.000.000
https://www.properati.com.co/detalle/14032-32-d02-8c5ac1100261-90cf91fc-a773-4f20,"Puerto Colombia, Barranquilla, Atlántico",4 habitaciones,5 baños,460 m²,Casa,6.0,$ 2.700.000.000
https://www.properati.com.co/detalle/14032-32-edeb-f1af5d68bed6-81c34e1e-996e-44c0,"Puerto Colombia, Barranquilla, Atlántico",3 habitaciones,3 baños,,Casa,6.0,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-275-b5d5cee468fc-268ffe4c-b1c4-420a,"Ríomar, Barranquilla, Atlántico",3 habitaciones,3 baños,212 m²,Casa,6.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-be66-ef1e0189b640-5eb14fe3-9293-40c0,"Ríomar, Barranquilla, Atlántico",4 habitaciones,4 baños,,Casa,6.0,$ 1.500.000.000
https://www.properati.com.co/detalle/14032-32-826e-ff8dc3afb964-56699b75-9aa2-425f,"Puerto Colombia, Barranquilla, Atlántico",4 habitaciones,4 baños,457 m²,Casa,6.0,$ 2.200.000.000
https://www.properati.com.co/detalle/14032-32-a359-8ddd73177ebc-f399252c-8209-4406,"Puerto Colombia, Barranquilla, Atlántico",3 habitaciones,3 baños,235 m²,Casa,6.0,$ 1.450.000.000
https://www.properati.com.co/detalle/14032-32-1f99-84d0e890cba8-8ba3b1fb-9567-410e,"Ríomar, Barranquilla, Atlántico",3 habitaciones,3 baños,250 m²,Casa,6.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-387-5aff9a69deb3-25bc1641-94fe-4079,"Ríomar, Barranquilla, Atlántico",3 habitaciones,3 baños,223 m²,Casa,6.0,$ 1.350.000.000
https://www.properati.com.co/detalle/14032-32-75c9-bc00816d323d-18f98fe-a7f3-70fa,"Ríomar, Barranquilla, Atlántico",3 habitaciones,2 baños,300 m²,Casa,6.0,$ 1.600.000.000
https://www.properati.com.co/detalle/14032-32-fe11-9a42d59db62a-191ee59-82df-7cdc,"Ríomar, Barranquilla, Atlántico",4 habitaciones,5 baños,430 m²,Casa,6.0,$ 3.000.000.000
https://www.properati.com.co/detalle/14032-32-6b96-c62288b57392-1914994-9c02-7cec,"Norte-Centro Histórico, Barranquilla, Atlántico",3 habitaciones,4 baños,126 m²,Casa,5.0,$ 800.000.000
https://www.properati.com.co/detalle/14032-32-6ca9-4c234fab19b7-1910164-85c8-74f7,"Ríomar, Barranquilla, Atlántico",3 habitaciones,3 baños,120 m²,Casa,5.0,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-f719-e527106e9907-191d48e-9024-7a92,"Ríomar, Barranquilla, Atlántico",3 habitaciones,5 baños,405 m²,Casa,6.0,$ 2.200.000.000
https://www.properati.com.co/detalle/14032-32-8a3d-b51965313240-1914b22-a328-7c2c,"Puerto Colombia, Barranquilla, Atlántico",3 habitaciones,3 baños,143 m²,Casa,5.0,$ 780.000.000
