URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-4bd6-111e4385c660-a0685ea7-ab05-36bd,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones,3 baños,150 m²,Apartamento,6.0,$ 790.000.000
https://www.properati.com.co/detalle/14032-32-1c50-e591d2e9a5cb-191e44d-9089-7dd7,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,166 m²,Apartamento,5.0,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-b437-963cc4f82551-7dc15f93-8c7f-4e5b,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,58 m²,Apartamento,3.0,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-2f9c-d14170063ee4-1a1937d7-a741-3fa4,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación,2 baños,53 m²,Apartamento,6.0,$ 420.000.000
https://www.properati.com.co/detalle/14032-32-3506-808ba9c17f67-191ee65-9831-7037,"Los Lagartos, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,5 baños,176 m²,Apartamento,6.0,$ 1.390.000.000
https://www.properati.com.co/detalle/14032-32-dab2-fee180f43f04-191258e-b031-788e,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones,2 baños,42 m²,Apartamento,,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-c80a-21995eaef41a-e7d8ca54-8d18-44a1,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,99 m²,Apartamento,5.0,$ 475.000.000
https://www.properati.com.co/detalle/14032-32-b831-d2d05a693342-eafdffa7-981e-4fe2,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,175 m²,Apartamento,6.0,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-7cd4-118dadf4edc4-a66cfb69-99b0-3778,"Parque Central Bavaria, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,87 m²,Apartamento,4.0,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-8b20-a7753c4debd3-191c9ad-bee7-7791,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación,2 baños,45 m²,Apartamento,5.0,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-7294-9d863284e18f-191c9a0-bee7-7791,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,72 m²,Apartamento,3.0,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-7227-e39d449cfbc9-191d3e5-ba10-7245,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,85 m²,Apartamento,4.0,$ 670.000.000
https://www.properati.com.co/detalle/14032-32-6abb-db7fdeb19d60-191d2b4-ba10-7245,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,112 m²,Apartamento,4.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-50d6-a01413858e8d-191d2a4-ba10-7245,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,67 m²,Apartamento,4.0,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-b204-72b50334ced7-1905548-9df0-7b22,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Apartamento,5.0,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-e0e2-5080337e7932-1918f70-936f-7b7f,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Apartamento,4.0,$ 980.000.000
https://www.properati.com.co/detalle/14032-32-a241-3a49b98bac30-5552d912-ba45-4903,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación,1 baño,,Apartamento,4.0,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-534c-158617a25ed5-1918f84-bfad-743a,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",,,,Apartamento,4.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-7cc-7c60f3041548-1918f7d-be38-7b24,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",,,,Apartamento,6.0,$ 465.000.000
https://www.properati.com.co/detalle/14032-32-79b0-47295b703e85-25c4e0bd-bd77-4f2c,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones,2 baños,72 m²,Apartamento,4.0,$ 340.000.000
https://www.properati.com.co/detalle/14032-32-660a-77804b1e7343-2fe56ed4-a265-4f1c,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,163 m²,Apartamento,6.0,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-4490-c28e5517637d-d1e90f7b-b44b-4f9c,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación,1 baño,33 m²,Apartamento,4.0,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-b9a7-ea22b997450e-3ee9344e-9ee6-4488,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,100 m²,Apartamento,5.0,$ 510.000.000
https://www.properati.com.co/detalle/14032-32-6077-5474ff312549-c662d9a4-b61b-4120,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones,2 baños,67 m²,Apartamento,,$ 420.000.000
https://www.properati.com.co/detalle/14032-32-6cce-653cd483dac4-191c2d6-832b-757a,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",,,,Apartamento,4.0,$ 485.000.000
https://www.properati.com.co/detalle/14032-32-b4d-7ab7e61f131-191eda0-bb57-7245,"La Granja, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",,,,Apartamento,3.0,$ 294.787.230
https://www.properati.com.co/detalle/14032-32-5fc5-3124fac1a566-191d76f-b3e7-7021,"La Uribe, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Apartamento,4.0,$ 498.000.000
https://www.properati.com.co/detalle/14032-32-dc72-5872489cc3b8-191d934-b3e7-7021,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",,,,Apartamento,3.0,$ 307.000.000
https://www.properati.com.co/detalle/14032-32-5018-4959dfd074fe-191d7ba-b3e7-7021,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Apartamento,3.0,$ 299.000.000
https://www.properati.com.co/detalle/14032-32-4de5-4787dcc75271-191d790-b3e7-7021,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Apartamento,4.0,$ 498.000.000
https://www.properati.com.co/detalle/14032-32-331a-921c46a14933-191c312-832b-757a,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",,,,Apartamento,,$ 117.579.000
https://www.properati.com.co/detalle/14032-32-1cac-6fe0f26678cb-191c2ec-832b-757a,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",,,,Apartamento,3.0,$ 210.000.000
https://www.properati.com.co/detalle/14032-32-cc4a-b01882410d4e-1916c74-a789-7247,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",,,,Apartamento,5.0,$ 453.500.000
https://www.properati.com.co/detalle/14032-32-14ab-3d2addbfe950-c8782250-92fb-120e,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,330 m²,Apartamento,6.0,$ 3.800.000.000
https://www.properati.com.co/detalle/14032-32-7fbd-8703f7c1d52d-1913a1d-8299-7af2,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones,2 baños,82 m²,Apartamento,6.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-a3a0-101176f454e2-a2b4feea-a0a9-48d9,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,4 baños,318 m²,Apartamento,6.0,$ 4.500.000.000
https://www.properati.com.co/detalle/14032-32-372b-218a87d20eb7-bc3bdb0c-a575-4fab,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,370 m²,Apartamento,6.0,$ 4.200.000.000
https://www.properati.com.co/detalle/14032-32-ecf0-ed41351954c8-191fe1a-a9de-7617,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones,4 baños,248 m²,Apartamento,6.0,$ 2.000.000.000
https://www.properati.com.co/detalle/14032-32-45fe-3a6c55318a5d-1917d50-be8a-7e07,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones,2 baños,150 m²,Apartamento,6.0,$ 2.680.000.000
https://www.properati.com.co/detalle/14032-32-6962-33629d18d69d-72be82d0-b592-120e,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",5 habitaciones,6 baños,600 m²,Apartamento,6.0,$ 11.000.000.000
https://www.properati.com.co/detalle/14032-32-dde6-f47ac7b4d49-1907b8a-a459-749f,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones,5 baños,184 m²,Apartamento,6.0,$ 1.400.000.000
https://www.properati.com.co/detalle/14032-32-a2cb-9507e38573da-c40c9680-b7ed-120d,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones,3 baños,165 m²,Apartamento,6.0,$ 1.800.000.000
https://www.properati.com.co/detalle/14032-32-a1ae-34d8df810290-c2750a2b-b786-3646,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",5 habitaciones,7 baños,600 m²,Apartamento,6.0,$ 11.000.000.000
https://www.properati.com.co/detalle/14032-32-d3e7-66cbe22e7ec2-1914ec2-a7f2-7f61,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones,4 baños,240 m²,Apartamento,6.0,$ 4.200.000.000
https://www.properati.com.co/detalle/14032-32-825-872d956026c5-192030c-b10d-7db1,"El Refugio, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones,4 baños,281 m²,Apartamento,6.0,$ 2.260.000.000
https://www.properati.com.co/detalle/14032-32-affa-53390275c6e9-84eea714-8c47-3aec,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones,5 baños,286 m²,Apartamento,6.0,$ 1.950.000.000
https://www.properati.com.co/detalle/14032-32-cbf0-3b1e4b038f41-ea14c26d-8d69-4d19,"El Retiro, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",,,,Apartamento,6.0,$ 5.800.000.000
https://www.properati.com.co/detalle/14032-32-f633-aea87f9e02e1-1914ec3-b6d5-749a,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,377 m²,Apartamento,6.0,$ 4.200.000.000
