URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-c711-ad4203d65ad2-191e47f-bf19-733a,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,138 m²,Casa,4.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-33b1-6962847c16e2-18f4bf8-a72b-705a,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",5 habitaciones,4 baños,294 m²,Casa,5.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-387a-f1df2200c747-a72e0be-b9ae-4a83,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,120 m²,Casa,5.0,$ 460.000.000
https://www.properati.com.co/detalle/14032-32-6f2f-4df5f26a9604-46b47d91-ac16-4651,"Britalia Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",8 habitaciones,6 baños,490 m²,Casa,3.0,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-ae4c-95f6ee6d9420-191cf64-bb89-7da7,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,340 m²,Casa,6.0,$ 2.300.000.000
https://www.properati.com.co/detalle/14032-32-327b-90decf9eb476-18f4bb5-9d3a-77c9,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,326 m²,Casa,5.0,$ 1.480.000.000
https://www.properati.com.co/detalle/14032-32-b4d2-d6540b1ecd49-1912a9d-9a99-7b21,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,4 baños,250 m²,Casa,5.0,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-63d-35ea695447e8-18f4bb1-b708-7850,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",10 habitaciones,6 baños,439 m²,Casa,4.0,$ 1.620.000.000
https://www.properati.com.co/detalle/14032-32-6ff2-dbc9fea26f14-191e47e-9e3c-706b,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,171 m²,Casa,5.0,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-53ec-7cec887ae744-191ee57-9c22-7f4b,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,145 m²,Casa,4.0,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-35b8-8075b0adcb4e-e645cf62-8f93-31d4,"Turingia, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,93 m²,Casa,4.0,$ 440.000.000
https://www.properati.com.co/detalle/14032-32-8a68-e6f47f76a9f8-1918c75-998d-7b1e,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,4 baños,198 m²,Casa,5.0,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-5af3-ee9f65e82d69-b857e450-9383-4f2a,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",6 habitaciones,6 baños,320 m²,Casa,3.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-8e34-fc02397fa0a-1913463-acb2-7894,"Bosque De Pinos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Casa,6.0,$ 2.100.000.000
https://www.properati.com.co/detalle/14032-32-8a3b-d90cf79ef2f2-de20a37-b148-442e,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,,Casa,4.0,$ 790.000.000
https://www.properati.com.co/detalle/14032-32-c506-2f2be82bc423-e359e585-a30e-4bca,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones,3 baños,260 m²,Casa,4.0,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-8eb4-bbff7e09412a-aadd890f-a084-4d82,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",5 habitaciones,3 baños,,Casa,3.0,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-a8ba-39253c0c5770-63768bf0-8b64-42b7,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,3 baños,220 m²,Casa,4.0,$ 990.000.000
https://www.properati.com.co/detalle/14032-32-9982-2734be0e7c28-a6441b10-be3a-120e,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,4 baños,461 m²,Casa,6.0,$ 7.500.000.000
https://www.properati.com.co/detalle/14032-32-763d-f7cc9802b1bd-130b2049-add2-42af,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,450 m²,Casa,6.0,$ 7.200.000.000
https://www.properati.com.co/detalle/14032-32-e1d6-532c848fa003-eceaa319-a5a7-3bf8,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,400 m²,Casa,6.0,$ 1.280.000.000
https://www.properati.com.co/detalle/14032-32-4b60-273bafedcefb-191e93c-b88f-7acc,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,390 m²,Casa,,$ 3.000.000.000
https://www.properati.com.co/detalle/14032-32-bff2-9604f23ebe66-8bc335d4-9066-353b,"Colinas De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,268 m²,Casa,6.0,$ 1.980.000.000
https://www.properati.com.co/detalle/14032-32-43d8-d70393b69c01-191258b-bae0-746e,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,2 baños,116 m²,Casa,5.0,$ 946.500.000
https://www.properati.com.co/detalle/14032-32-7f58-9f8d9a59e80-8e65adc8-9c76-3851,"Alhambra, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,4 baños,350 m²,Casa,5.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-b079-25fd7a6a8ea6-e2ef725c-86bd-489c,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,2 baños,229 m²,Casa,4.0,$ 870.000.000
https://www.properati.com.co/detalle/14032-32-8cd6-3ff313140c03-191258b-a24b-75bf,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Casa,5.0,$ 582.000.000
https://www.properati.com.co/detalle/14032-32-8123-ceafcd13fb3f-7ed2acf1-b9af-4a0a,"Los Lagartos, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones,5 baños,390 m²,Casa,5.0,$ 890.000.000
https://www.properati.com.co/detalle/14032-32-7f38-b2758c66eec4-1909945-bb78-73a5,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",8 habitaciones,3 baños,103 m²,Casa,5.0,$ 540.000.000
https://www.properati.com.co/detalle/14032-32-c88c-7432518c046c-7fbca730-a982-303b,"Colinas De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones,4 baños,380 m²,Casa,5.0,$ 1.100.000
https://www.properati.com.co/detalle/14032-32-3d5a-47273ddfd413-fce67a6-ac33-469c,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,200 m²,Casa,4.0,$ 980.000.000
https://www.properati.com.co/detalle/14032-32-c0fb-8eebdc8cf16b-191de95-855d-7ac8,"Cantagallo, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",,,,Casa,3.0,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-7ced-50827f9480d8-1907bc8-8d1b-79f5,"Los Lagartos, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,5 baños,328 m²,Casa,5.0,$ 2.100.000.000
https://www.properati.com.co/detalle/14032-32-60c6-650c6d4077bc-191fe01-8331-7bda,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones,2 baños,62 m²,Casa,3.0,$ 269.000.000
https://www.properati.com.co/detalle/14032-32-a23e-d4280d97f09d-1908b04-9bd5-74e6,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",6 habitaciones,7 baños,450 m²,Casa,5.0,$ 2.200.000.000
https://www.properati.com.co/detalle/14032-32-bd66-60e151ec63d4-f211e99a-8e09-3e4d,"Parque Central Bavaria, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",9 habitaciones,4 baños,288 m²,Casa,3.0,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-82a7-76fa2589a710-1912cda-bdf7-75cf,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones,4 baños,250 m²,Casa,,$ 1.450.000.000
https://www.properati.com.co/detalle/14032-32-5f37-cbd1979ea83f-19016c3-8426-73ef,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones,4 baños,180 m²,Casa,,$ 890.000.000
https://www.properati.com.co/detalle/14032-32-2fda-837f2df16479-19016c3-9988-765a,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,273 m²,Casa,,$ 890.000.000
https://www.properati.com.co/detalle/14032-32-e4e7-753f2409a385-190a1ce-901c-742e,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,5 baños,330 m²,Casa,,$ 2.150.000.000
https://www.properati.com.co/detalle/14032-32-ac58-d6ad306ca5fc-191131a-b9bc-7113,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones,3 baños,279 m²,Casa,,$ 1.050.000.000
https://www.properati.com.co/detalle/14032-32-d4a0-5ece588a575a-191fc8a-9306-7355,"Santa Ana, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",,,,Casa,6.0,$ 4.500.000.000
https://www.properati.com.co/detalle/14032-32-58a1-e455fa730091-19016c3-9d75-7827,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,186 m²,Casa,,$ 659.000.000
https://www.properati.com.co/detalle/14032-32-1d7-6409789beb76-1917cdb-bc49-801d,"Los Lagartos, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",17 habitaciones,7 baños,419 m²,Casa,5.0,$ 1.650.000.000
https://www.properati.com.co/detalle/14032-32-3876-3517777307e2-19016c3-8659-7649,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",8 habitaciones,5 baños,270 m²,Casa,,$ 1.700.000.000
https://www.properati.com.co/detalle/14032-32-6e8-e8f679f7e67-191d73f-af66-78af,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",,,,Casa,2.0,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-84e2-3df38e223eb0-1917ca6-bc49-801d,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,138 m²,Casa,6.0,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-d070-7bda14d4b206-398a6cea-8424-3d1c,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",6 habitaciones,4 baños,296 m²,Casa,3.0,$ 920.000.000
https://www.properati.com.co/detalle/14032-32-5e26-649bc1e5624a-1914ec9-a88a-717a,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",,,,Casa,5.0,$ 2.400.000.000
https://www.properati.com.co/detalle/14032-32-2c41-3e3f6c3653bc-e26d3a00-8fc4-453b,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones,3 baños,321 m²,Casa,5.0,$ 1.285.000.000
