URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-f7c7-f952c241a7ad-c6c1e8e3-aa1e-40b1,"Bucaramanga, Santander",3 habitaciones,3 baños,100 m²,Casa,2,$ 167.000.000
https://www.properati.com.co/detalle/14032-32-3985-6e20fb93e2fe-1920d4a-a1fa-72a3,"Bucaramanga, Santander",N/A,N/A,N/A,Casa,6,$ 2.900.000.000
https://www.properati.com.co/detalle/14032-32-90bf-c9ada09f6d1-190ea70-975d-7028,"Bucaramanga, Santander",N/A,N/A,N/A,Casa,4,$ 750.000.000
https://www.properati.com.co/detalle/14032-32-60eb-8c87189b6eb3-7b25ac28-8830-477d,"Bucaramanga, Santander",N/A,N/A,N/A,Casa,6,$ 1.180.000.000
https://www.properati.com.co/detalle/14032-32-a83e-be91dee99284-190e088-935c-735a,"Comuna 6 La Concordia, Bucaramanga, Santander",4 habitaciones,2 baños,124 m²,Casa,4,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-2891-27e6e1425fcc-190c658-8403-7783,"Comuna 6 La Concordia, Bucaramanga, Santander",5 habitaciones,4 baños,168 m²,Casa,4,$ 575.000.000
https://www.properati.com.co/detalle/14032-32-a25f-ac90bc5bbd3f-85bb6f18-95fd-33b1,"Bucaramanga, Santander",3 habitaciones,5 baños,407 m²,Casa,N/A,$ 2.000.000.000
https://www.properati.com.co/detalle/14032-32-ab80-a133370d5ef0-ec78ce52-98df-41e1,"Comuna 3 San Francisco, Bucaramanga, Santander",4 habitaciones,4 baños,126 m²,Casa,4,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-8a0-1abb0a664f9c-19151f0-bbd3-7bd0,"Comuna 6 La Concordia, Bucaramanga, Santander",3 habitaciones,3 baños,107 m²,Casa,4,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-61ce-ad0c95d23d7c-cbf99b2e-8885-4bd7,"Bucaramanga, Santander",4 habitaciones,3 baños,225 m²,Casa,4,$ 980.000.000
https://www.properati.com.co/detalle/14032-32-97d0-f0617007970c-1915733-8260-7ce7,"Comuna 5 García Rovira, Bucaramanga, Santander",4 habitaciones,4 baños,180 m²,Casa,5,$ 800.000.000
https://www.properati.com.co/detalle/14032-32-f13b-7fd5652c73d6-ce2a79-b9f5-474b,"Bucaramanga, Santander",N/A,N/A,N/A,Casa,4,$ 635.000.000
https://www.properati.com.co/detalle/14032-32-40de-d6a17ee7b9e3-190dd6c-8404-7112,"Comuna 6 La Concordia, Bucaramanga, Santander",5 habitaciones,4 baños,290 m²,Casa,4,$ 595.000.000
https://www.properati.com.co/detalle/14032-32-6d6a-6054d2f0f4d9-1924a7c-9429-79bb,"Comuna 12 Cabecera del Llano, Bucaramanga, Santander",6 habitaciones,6 baños,600 m²,Casa,5,$ 1.800.000.000
https://www.properati.com.co/detalle/14032-32-85aa-97e604e87587-191569c-9817-79bf,"Bucaramanga, Santander",N/A,N/A,N/A,Casa,6,$ 1.500.000.000
https://www.properati.com.co/detalle/14032-32-bd2a-72db1aa1988a-1924b1e-9774-768e,"Bucaramanga, Santander",N/A,N/A,N/A,Casa,5,$ 795.000.000
https://www.properati.com.co/detalle/14032-32-66fd-c7018704e844-84f19ed0-986b-1070,"Comuna 6 La Concordia, Bucaramanga, Santander",3 habitaciones,2 baños,144 m²,Casa,4,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-7a2c-61194d9b8ed0-190c819-af73-7bd8,"Bucaramanga, Santander",3 habitaciones,3 baños,230 m²,Casa,5,$ 795.000.000
https://www.properati.com.co/detalle/14032-32-2b0f-38d18c078b02-191eb98-8f0f-7c2f,"Comuna 11 Sur, Bucaramanga, Santander",3 habitaciones,2 baños,91 m²,Casa,4,$ 385.000.000
https://www.properati.com.co/detalle/14032-32-e9d6-c655b53f8b3f-191a43e-87ac-768e,"Bucaramanga, Santander",3 habitaciones,2 baños,75 m²,Casa,N/A,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-a0b4-7c364333a7ec-398d5e19-8d61-4522,"Bucaramanga, Santander",5 habitaciones,4 baños,250 m²,Casa,6,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-7145-ccd0d85132cd-9498a494-b869-4cbd,"Bucaramanga, Santander",4 habitaciones,4 baños,222 m²,Casa,4,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-825a-5d7e51c6d742-d2034df0-8a99-120e,"Bucaramanga, Santander",4 habitaciones,3 baños,150 m²,Casa,4,$ 695.000.000
