URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-8ba0-ccc38d1a5924-18f5f9e-ade0-7334,"Cali, Valle del Cauca",4 habitaciones,3 baños,246 m²,Casa,4.0,$ 780.000.000
https://www.properati.com.co/detalle/14032-32-adc2-e3e7c0be9085-18f5f9e-b1c4-71a7,"Cali, Valle del Cauca",3 habitaciones,3 baños,82 m²,Casa,3.0,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-c41c-2bd5506dddc8-190e22b-94ce-746c,"Ciudad Jardín, Cali, Valle del Cauca",6 habitaciones,5 baños,2.100 m²,Casa,6.0,$ 4.000.000.000
https://www.properati.com.co/detalle/14032-32-fe24-621b69fe63ca-190c966-9394-7ace,"Cali, Valle del Cauca",3 habitaciones,2 baños,73 m²,Casa,4.0,$ 260.000.000
https://www.properati.com.co/detalle/14032-32-bad9-d3001a9ac9bd-cd8b487b-8131-4db0,"Cali, Valle del Cauca",3 habitaciones,2 baños,90 m²,Casa,5.0,$ 430.000.000
https://www.properati.com.co/detalle/14032-32-3415-fc0cb1f7571d-a916357-8b51-4a35,"Pance, Cali, Valle del Cauca",5 habitaciones,5 baños,891 m²,Casa,6.0,$ 2.800.000.000
https://www.properati.com.co/detalle/14032-32-e797-6335839c3a2a-190dd9c-b4b8-7bde,"Cali, Valle del Cauca",,,,Casa,3.0,$ 790.000.000
https://www.properati.com.co/detalle/14032-32-5d5b-e00c1bde1c9f-19176a1-863b-757b,"La Flora, Cali, Valle del Cauca",6 habitaciones,5 baños,320 m²,Casa,5.0,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-3faa-9927e3b9cd01-191c2fa-b5a8-7364,"Cali, Valle del Cauca",3 habitaciones,5 baños,365 m²,Casa,6.0,$ 1.600.000.000
https://www.properati.com.co/detalle/14032-32-f8c7-766f4bf1f55f-191c2f6-9cc4-7d83,"Cali, Valle del Cauca",3 habitaciones,5 baños,380 m²,Casa,6.0,$ 3.580.000.000
https://www.properati.com.co/detalle/14032-32-f6b1-286a2269a7d7-191c2fa-9645-7f1e,"Cali, Valle del Cauca",3 habitaciones,5 baños,375 m²,Casa,6.0,$ 1.799.000.000
https://www.properati.com.co/detalle/14032-32-1873-afb16d854e03-659c6cf8-b229-4f78,"Cali, Valle del Cauca",5 habitaciones,3 baños,417 m²,Casa,6.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-105f-5872ec17d2e8-190c95e-9394-7ace,"Cali, Valle del Cauca",3 habitaciones,3 baños,107 m²,Casa,4.0,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-ff6c-64c6cbc01208-805a5a69-acac-4df7,"Cali, Valle del Cauca",4 habitaciones,3 baños,,Casa,5.0,$ 720.000.000
https://www.properati.com.co/detalle/14032-32-bdf3-b79705acef4b-10db5da6-a799-413b,"Cali, Valle del Cauca",4 habitaciones,2 baños,148 m²,Casa,4.0,$ 525.000.000
https://www.properati.com.co/detalle/14032-32-a967-7d69c96d22af-191c2f6-8f11-7682,"Pance, Cali, Valle del Cauca",4 habitaciones,6 baños,412 m²,Casa,6.0,$ 1.649.900.000
https://www.properati.com.co/detalle/14032-32-f460-3e941ef4997b-191c2f3-a013-7197,"Cali, Valle del Cauca",4 habitaciones,8 baños,800 m²,Casa,6.0,$ 3.200.000.000
https://www.properati.com.co/detalle/14032-32-2251-614fb57a20c9-41a53cfc-9bf2-4148,"Cali, Valle del Cauca",4 habitaciones,3 baños,240 m²,Casa,5.0,$ 560.000.000
https://www.properati.com.co/detalle/14032-32-bc0-cfdf3913b60c-1912514-b5e2-78ac,"Cali, Valle del Cauca",6 habitaciones,2 baños,225 m²,Casa,4.0,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-f016-95402ccdf706-93f88812-b8ca-4ae4,"Santa Mónica, Cali, Valle del Cauca",4 habitaciones,4 baños,286 m²,Casa,,$ 560.000.000
https://www.properati.com.co/detalle/14032-32-8d49-5bff556d3dca-40cfa84c-b6f2-5001,"La Flora, Cali, Valle del Cauca",4 habitaciones,4 baños,285 m²,Casa,5.0,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-389b-15007b458adf-e9766f70-947b-120e,"Cali, Valle del Cauca",3 habitaciones,4 baños,130 m²,Casa,5.0,$ 890.000.000
https://www.properati.com.co/detalle/14032-32-9f6f-a5efd61295f5-1912e37-b6d9-71c1,"Pance, Cali, Valle del Cauca",4 habitaciones,6 baños,580 m²,Casa,6.0,$ 2.950.000.000
https://www.properati.com.co/detalle/14032-32-6b92-7933542e7f9d-4664fa80-a2fb-120d,"Cali, Valle del Cauca",6 habitaciones,6 baños,400 m²,Casa,5.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-e5e4-601d616e8af8-875cf751-9e28-4521,"Cali, Valle del Cauca",7 habitaciones,5 baños,680 m²,Casa,4.0,$ 1.450.000.000
https://www.properati.com.co/detalle/14032-32-e1c4-c0ae448308d4-19124fe-b5e2-78ac,"Cali, Valle del Cauca",5 habitaciones,3 baños,240 m²,Casa,5.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-c5b6-ff608ebd4066-cd0e8e8e-9ee4-4372,"Cali, Valle del Cauca",3 habitaciones,4 baños,105 m²,Casa,6.0,$ 1.800.000.000
https://www.properati.com.co/detalle/14032-32-7521-e61ff30bc728-3d3112bb-8a72-40b2,"Pance, Cali, Valle del Cauca",4 habitaciones,5 baños,302 m²,Casa,6.0,$ 2.400.000.000
