URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-14d5-c6c07c09c631-19061da-9276-7d5b,"Cartagena, Bolívar",3 habitaciones,2 baños,89 m²,Apartamento,5.0,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-3f1f-2f8073e65133-18fad9e-82bf-717b,"Cartagena, Bolívar",,,,Apartamento,5.0,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-574f-ed978bc3ed1b-18f7f40-afe5-78d8,"Cartagena, Bolívar",5 habitaciones,6 baños,170 m²,Apartamento,6.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-c7e0-a6282c7d9729-18f4d1f-a9af-747d,"Cartagena, Bolívar",2 habitaciones,3 baños,87 m²,Apartamento,5.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-e0f7-f21ed3cb9367-18f4c55-9187-77fd,"Cartagena, Bolívar",2 habitaciones,3 baños,105 m²,Apartamento,5.0,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-500a-c05a525e3e0b-19199f1-a692-7ac5,"Cartagena, Bolívar",2 habitaciones,2 baños,78 m²,Apartamento,6.0,$ 980.000.000
https://www.properati.com.co/detalle/14032-32-2ee4-516e8bc3516d-18f4c2f-8d9f-7f00,"Cartagena, Bolívar",2 habitaciones,3 baños,140 m²,Apartamento,6.0,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-2283-44738684d398-25cff4f5-9768-4002,"Cartagena, Bolívar",2 habitaciones,2 baños,96 m²,Apartamento,,$ 700.000.000
https://www.properati.com.co/detalle/14032-32-31ca-4f5f17202213-191fb2a-bf2b-75b1,"Cartagena, Bolívar",2 habitaciones,2 baños,109 m²,Apartamento,5.0,$ 720.000.000
https://www.properati.com.co/detalle/14032-32-f6c9-4a30aa8b9d78-190f7ec-8351-732f,"Cartagena, Bolívar",3 habitaciones,3 baños,320 m²,Apartamento,5.0,$ 1.150.000.000
https://www.properati.com.co/detalle/14032-32-4399-88952b062a0f-190f7f7-81d9-71b1,"Cartagena, Bolívar",1 habitación,1 baño,32 m²,Apartamento,5.0,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-7a00-6b76e9d1a74f-190f828-9831-7f55,"Cartagena, Bolívar",2 habitaciones,2 baños,75 m²,Apartamento,5.0,$ 790.000.000
https://www.properati.com.co/detalle/14032-32-2f27-166a02a215d5-190f51a-b0b6-7dfa,"Cartagena, Bolívar",2 habitaciones,2 baños,114 m²,Apartamento,5.0,$ 520.000.000
https://www.properati.com.co/detalle/14032-32-a386-91581c6ec9d3-190f801-a219-75ef,"Cartagena, Bolívar",3 habitaciones,2 baños,132 m²,Apartamento,5.0,$ 680.000.000
https://www.properati.com.co/detalle/14032-32-f7b8-a63beb5c7f3a-190bdda-9d80-702c,"Cartagena, Bolívar",2 habitaciones,3 baños,106 m²,Apartamento,6.0,$ 840.000.000
https://www.properati.com.co/detalle/14032-32-5591-18f39a98b888-190f51c-b0b6-7dfa,"Cartagena, Bolívar",3 habitaciones,2 baños,140 m²,Apartamento,5.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-d234-a3d332e1edcc-e222a59a-ba4b-32e9,"Cartagena, Bolívar",1 habitación,2 baños,68 m²,Apartamento,6.0,$ 860.000.000
https://www.properati.com.co/detalle/14032-32-faa6-fa9dde62ce41-1914a23-a50c-77a4,"Cartagena, Bolívar",3 habitaciones,2 baños,119 m²,Apartamento,6.0,$ 1.400.000.000
https://www.properati.com.co/detalle/14032-32-905e-fa7427a15a73-18f4c5b-9f2c-77cf,"Cartagena, Bolívar",2 habitaciones,2 baños,111 m²,Apartamento,6.0,$ 1.410.000.000
https://www.properati.com.co/detalle/14032-32-b0b8-d961ebb675e7-212e944f-9113-38f2,"Cartagena, Bolívar",1 habitación,1 baño,42 m²,Apartamento,,$ 590.000.000
https://www.properati.com.co/detalle/14032-32-2d65-a5ac32f1c585-1913a10-9080-7ae8,"Cartagena, Bolívar",2 habitaciones,3 baños,127 m²,Apartamento,6.0,$ 1.150.000.000
https://www.properati.com.co/detalle/14032-32-10e6-f013dc9027d4-18f4b9e-8ec8-7bd6,"Cartagena, Bolívar",3 habitaciones,5 baños,281 m²,Apartamento,6.0,$ 3.100.000.000
https://www.properati.com.co/detalle/14032-32-5dc5-1f3287a109a5-1915e29-bd46-7d22,"Cartagena, Bolívar",2 habitaciones,3 baños,87 m²,Apartamento,6.0,$ 1.035.000.000
https://www.properati.com.co/detalle/14032-32-6462-40d5a71f8800-18f4cee-9d4c-7a87,"Cartagena, Bolívar",2 habitaciones,3 baños,111 m²,Apartamento,6.0,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-773a-24e271b7046f-1914a48-addb-732d,"Cartagena, Bolívar",3 habitaciones,4 baños,124 m²,Apartamento,,$ 1.380.000.000
https://www.properati.com.co/detalle/14032-32-6a61-f4d8a5cc3d41-18f4b83-a577-7b1c,"Cartagena, Bolívar",2 habitaciones,2 baños,85 m²,Apartamento,5.0,$ 1.090.000.000
https://www.properati.com.co/detalle/14032-32-7f10-b9ce716ded38-1915e28-8cc1-71e6,"Cartagena, Bolívar",2 habitaciones,2 baños,126 m²,Apartamento,6.0,$ 1.780.000.000
https://www.properati.com.co/detalle/14032-32-159b-425b5507f512-1914b75-a169-7944,"Cartagena, Bolívar",3 habitaciones,3 baños,283 m²,Apartamento,6.0,$ 3.200.000.000
https://www.properati.com.co/detalle/14032-32-904c-61d28ea9c41e-18f4d1b-af3f-7e52,"Cartagena, Bolívar",3 habitaciones,3 baños,256 m²,Apartamento,6.0,$ 2.900.000.000
https://www.properati.com.co/detalle/14032-32-fd27-b6ee8fa61d98-1914acc-b2f3-7e9a,"Cartagena, Bolívar",2 habitaciones,2 baños,145 m²,Apartamento,6.0,$ 1.400.000.000
https://www.properati.com.co/detalle/14032-32-7671-512872d8af75-1914a36-8cc5-7baf,"Cartagena, Bolívar",3 habitaciones,3 baños,139 m²,Apartamento,6.0,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-736f-aa1df0749b85-9674b00-b881-4871,"Cartagena, Bolívar",2 habitaciones,2 baños,107 m²,Apartamento,5.0,$ 840.000.000
https://www.properati.com.co/detalle/14032-32-2469-5a1c1b18f783-c6629af0-ac3d-34ce,"Cartagena, Bolívar",3 habitaciones,3 baños,131 m²,Apartamento,5.0,$ 1.050.000.000
https://www.properati.com.co/detalle/14032-32-47b-f0f8f7dce0a0-18f4cfc-8be7-7eb7,"Cartagena, Bolívar",4 habitaciones,5 baños,210 m²,Apartamento,6.0,$ 1.850.000.000
https://www.properati.com.co/detalle/14032-32-637d-a36d1983d292-18f4ce1-a630-7e7e,"Cartagena, Bolívar",2 habitaciones,2 baños,107 m²,Apartamento,5.0,$ 840.000.000
https://www.properati.com.co/detalle/14032-32-e6d9-5399322918f1-191ee59-9d03-796c,"Cartagena, Bolívar",1 habitación,1 baño,56 m²,Apartamento,5.0,$ 470.000.000
https://www.properati.com.co/detalle/14032-32-76d6-1d2441fa6bd2-191e936-b692-7de4,"Cartagena, Bolívar",,,,Apartamento,5.0,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-569a-2a4621698309-191e7a9-8876-71ab,"Cartagena, Bolívar",2 habitaciones,2 baños,78 m²,Apartamento,6.0,$ 1.150.000.000
https://www.properati.com.co/detalle/14032-32-6154-a4f01aaa3144-1912ab4-aa28-7b21,"Cartagena, Bolívar",3 habitaciones,3 baños,87 m²,Apartamento,5.0,$ 560.000.000
https://www.properati.com.co/detalle/14032-32-1cb5-8caf0a258ba6-56e6513c-ae67-3c3d,"Cartagena, Bolívar",4 habitaciones,5 baños,187 m²,Apartamento,6.0,$ 1.350.000.000
https://www.properati.com.co/detalle/14032-32-5001-bf9ad1ab3a76-18f4c16-bfe8-78ee,"Cartagena, Bolívar",2 habitaciones,2 baños,91 m²,Apartamento,6.0,$ 1.070.000.000
https://www.properati.com.co/detalle/14032-32-fc66-4a51ebc63fbf-191fdf9-9400-7e31,"Cartagena, Bolívar",1 habitación,2 baños,66 m²,Apartamento,5.0,$ 630.000.000
https://www.properati.com.co/detalle/14032-32-e0a6-d60ccd123ff-191e92a-acb9-7605,"Cartagena, Bolívar",2 habitaciones,2 baños,87 m²,Apartamento,5.0,$ 860.000.000
https://www.properati.com.co/detalle/14032-32-1cf0-ea420908893f-19177e2-8271-7dc0,"Cartagena, Bolívar",2 habitaciones,2 baños,73 m²,Apartamento,5.0,$ 540.000.000
https://www.properati.com.co/detalle/14032-32-5768-475f83fc04d2-1912aa9-bd3a-75e9,"Cartagena, Bolívar",1 habitación,1 baño,57 m²,Apartamento,4.0,$ 480.000.000
https://www.properati.com.co/detalle/14032-32-cc92-e84166e17ae9-19061d8-9884-77bf,"Cartagena, Bolívar",1 habitación,1 baño,61 m²,Apartamento,5.0,$ 630.000.000
https://www.properati.com.co/detalle/14032-32-f3fe-bb05e4b9edc6-18fad90-8f24-7be7,"Cartagena, Bolívar",,,,Apartamento,5.0,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-38f0-acdeed6e0250-18f4c95-8cc6-791c,"Cartagena, Bolívar",2 habitaciones,2 baños,108 m²,Apartamento,5.0,$ 750.000.000
https://www.properati.com.co/detalle/14032-32-7d19-eba66f1f450a-18f4c74-922c-76d0,"Cartagena, Bolívar",3 habitaciones,3 baños,128 m²,Apartamento,5.0,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-b445-66037c77aca4-18f4c5b-85b2-7b0a,"Cartagena, Bolívar",2 habitaciones,2 baños,181 m²,Apartamento,5.0,$ 1.750.000.000
https://www.properati.com.co/detalle/14032-32-d39f-319001fe4dc8-18f4c3e-b8bf-7283,"Cartagena, Bolívar",2 habitaciones,2 baños,107 m²,Apartamento,4.0,$ 840.000.000
https://www.properati.com.co/detalle/14032-32-eb56-fe299370b68b-191498e-b23d-7a8b,"Cartagena, Bolívar",4 habitaciones,5 baños,205 m²,Apartamento,6.0,$ 1.800.000.000
https://www.properati.com.co/detalle/14032-32-3336-a9f56584981-18f4ca2-878e-79a2,"Cartagena, Bolívar",1 habitación,2 baños,73 m²,Apartamento,6.0,$ 830.000.000
https://www.properati.com.co/detalle/14032-32-8ff5-2a9fb76c1ed6-18f4c39-9a14-788b,"Cartagena, Bolívar",3 habitaciones,3 baños,145 m²,Apartamento,6.0,$ 1.000.000.000
https://www.properati.com.co/detalle/14032-32-aaf6-f299832ffa-1912fc6-b7e6-7043,"Cartagena, Bolívar",4 habitaciones,5 baños,346 m²,Apartamento,6.0,$ 2.600.000.000
https://www.properati.com.co/detalle/14032-32-bc37-9affc231f20-1a341ff0-bfbf-366d,"Cartagena, Bolívar",3 habitaciones,4 baños,311 m²,Apartamento,6.0,$ 3.100.000.000
https://www.properati.com.co/detalle/14032-32-bf94-5393b47d0b3c-191e92b-8bcb-79fd,"Cartagena, Bolívar",2 habitaciones,2 baños,102 m²,Apartamento,5.0,$ 960.000.000
https://www.properati.com.co/detalle/14032-32-2ae7-ebf9a383fd21-1917d07-9be8-7c7e,"Cartagena, Bolívar",2 habitaciones,2 baños,74 m²,Apartamento,5.0,$ 470.000.000
https://www.properati.com.co/detalle/14032-32-4092-3d7efe91b98b-1912aa9-ac15-7e22,"Cartagena, Bolívar",1 habitación,1 baño,51 m²,Apartamento,4.0,$ 440.000.000
https://www.properati.com.co/detalle/14032-32-6d32-98cca14f87fe-19061d7-a0ec-7ec8,"Cartagena, Bolívar",1 habitación,1 baño,61 m²,Apartamento,5.0,$ 630.000.000
https://www.properati.com.co/detalle/14032-32-afef-a11389cc9004-18f4c48-97f2-7c6e,"Cartagena, Bolívar",,,,Apartamento,6.0,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-14d6-32b5958d58f-18f4ccd-a0e0-73c7,"Cartagena, Bolívar",2 habitaciones,2 baños,114 m²,Apartamento,6.0,$ 990.000.000
https://www.properati.com.co/detalle/14032-32-3637-a3e3e2106d1c-1912581-872f-79a3,"Cartagena, Bolívar",3 habitaciones,4 baños,223 m²,Apartamento,6.0,$ 2.400.000.000
https://www.properati.com.co/detalle/14032-32-9666-7d9d8544642c-19019ab-b3a3-7b07,"Cartagena, Bolívar",3 habitaciones,2 baños,93 m²,Apartamento,6.0,$ 580.000.000
https://www.properati.com.co/detalle/14032-32-952c-fb87b54b4719-190f718-8f2b-7f4b,"Cartagena, Bolívar",2 habitaciones,3 baños,127 m²,Apartamento,6.0,$ 1.190.000.000
https://www.properati.com.co/detalle/14032-32-93ba-d421d3b6cb25-1914a7d-985b-7da1,"Cartagena, Bolívar",3 habitaciones,4 baños,223 m²,Apartamento,6.0,$ 2.100.000.000
https://www.properati.com.co/detalle/14032-32-78b2-4d0c11cd4565-18fc749-89a1-72d0,"Cartagena, Bolívar",3 habitaciones,2 baños,197 m²,Apartamento,5.0,$ 990.000.000
https://www.properati.com.co/detalle/14032-32-4d07-29b32f2aa1ea-18f4d46-9099-7785,"Cartagena, Bolívar",4 habitaciones,4 baños,286 m²,Apartamento,6.0,$ 3.326.000.000
