URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-53a7-84ff73dcb973-cc1851e2-bbb6-351a,"Cúcuta, Norte de Santander",5 habitaciones,4 baños,232 m²,Casa,4.0,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-9ead-f61244c6376f-beaa9e56-a9ca-33a6,"Cúcuta, Norte de Santander",8 habitaciones,5 baños,251 m²,Casa,,$ 800.000.000
https://www.properati.com.co/detalle/14032-32-7392-b729d5b570a9-bbf8fab3-a3ba-30e0,"Cúcuta, Norte de Santander",5 habitaciones,4 baños,300 m²,Casa,,$ 700.000.000
https://www.properati.com.co/detalle/14032-32-d8e8-7fd244b057e4-70830b44-94b4-35e5,"Cúcuta, Norte de Santander",8 habitaciones,5 baños,296 m²,Casa,,$ 800.000.000
https://www.properati.com.co/detalle/14032-32-aa2c-673cee8c01f5-732055d-b1c7-3159,"Cúcuta, Norte de Santander",3 habitaciones,3 baños,124 m²,Casa,,$ 480.000.000
https://www.properati.com.co/detalle/14032-32-7bc-499b7905762e-4c70b7cd-9b73-32ea,"Cúcuta, Norte de Santander",7 habitaciones,4 baños,336 m²,Casa,,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-9e94-b90540c4c3ab-48576137-a8b4-3c9d,"Cúcuta, Norte de Santander",3 habitaciones,4 baños,137 m²,Casa,,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-ee42-37c52e007e05-b213370d-8716-3fa4,"Cúcuta, Norte de Santander",4 habitaciones,3 baños,180 m²,Casa,,$ 520.000.000
https://www.properati.com.co/detalle/14032-32-e4ab-7e573047665f-c8bca95-a8bc-33c9,"Cúcuta, Norte de Santander",8 habitaciones,7 baños,375 m²,Casa,,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-ade8-35b5aa1f2969-27135982-bddc-35af,"Cúcuta, Norte de Santander",3 habitaciones,4 baños,200 m²,Casa,,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-66bf-4bfc185ca7a0-2de169f1-ae56-3886,"Cúcuta, Norte de Santander",3 habitaciones,1 baño,343 m²,Casa,,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-4c2d-e76d85f80188-1914174-86c0-7809,"Cúcuta, Norte de Santander",,,,Casa,,$ 1.026.000.000
https://www.properati.com.co/detalle/14032-32-5fda-4cd6d2f01bd9-45b6f39a-8448-3d11,"Cúcuta, Norte de Santander",,,,Casa,,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-d441-37e2e923a0fa-b7909e2b-950a-307a,"Cúcuta, Norte de Santander",5 habitaciones,4 baños,275 m²,Casa,,$ 790.000.000
https://www.properati.com.co/detalle/14032-32-ac74-702b9d0b0f2e-98b1824-ad65-463c,"Cúcuta, Norte de Santander",3 habitaciones,2 baños,110 m²,Casa,4.0,$ 290.000.000
