URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-9e48-54a1181cf2b6-aa18b5c5-9864-4e4c,"Ibagué, Tolima",3 habitaciones,2 baños,106 m²,Apartamento,5,$ 265.000.000
https://www.properati.com.co/detalle/14032-32-2483-3c94213948aa-ea98538d-aa9a-48b2,"Ibagué, Tolima",4 habitaciones,5 baños,180 m²,Apartamento,N/A,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-4f5e-68ee2bd63554-eba93eb5-98e9-4de6,"Ibagué, Tolima",3 habitaciones,2 baños,46 m²,Apartamento,3,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-64cd-c4ab8eedd3a2-186ae975-a9ce-47e1,"Ibagué, Tolima",3 habitaciones,2 baños,48 m²,Apartamento,3,$ 150.000.000
https://www.properati.com.co/detalle/14032-32-8802-6f874337385f-1907a9e-a5dc-7b45,"Ibagué, Tolima",3 habitaciones,3 baños,118 m²,Apartamento,4,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-dcae-40e7b204d525-330809de-9e38-4413,"Ibagué, Tolima",3 habitaciones,2 baños,55 m²,Apartamento,3,$ 160.000.000
https://www.properati.com.co/detalle/14032-32-4d0e-2ba42a704ad2-20a726a6-a49b-4ad9,"Ibagué, Tolima",3 habitaciones,2 baños,92 m²,Apartamento,5,$ 345.000.000
https://www.properati.com.co/detalle/14032-32-7cdc-f8580ed37811-18ff5a1-b89c-7a24,"Ibagué, Tolima",4 habitaciones,3 baños,106 m²,Apartamento,4,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-7a55-d2b7d7b2550d-7d13af38-9dbd-4a87,"Ibagué, Tolima",3 habitaciones,3 baños,100 m²,Apartamento,5,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-b721-4a386e05ce44-1902b5c-969f-758e,"Ibagué, Tolima",3 habitaciones,2 baños,79 m²,Apartamento,N/A,$ 260.000.000
https://www.properati.com.co/detalle/14032-32-9720-1c8ebe02685b-195babb1-8ecd-36f5,"Ibagué, Tolima",3 habitaciones,2 baños,44 m²,Apartamento,N/A,$ 115.000.000
https://www.properati.com.co/detalle/14032-32-7b6f-d8ddcdd8373c-c11e999a-b599-318c,"Ibagué, Tolima",4 habitaciones,3 baños,111 m²,Apartamento,4,$ 251.000.000
https://www.properati.com.co/detalle/14032-32-96d1-f4da0bf1e4ff-1900c76-a74e-7cda,"Ibagué, Tolima",3 habitaciones,2 baños,79 m²,Apartamento,N/A,$ 249.900.000
https://www.properati.com.co/detalle/14032-32-9d30-9aef14b3672e-59e3f82f-ba24-3cc1,"Ibagué, Tolima",2 habitaciones,2 baños,90 m²,Apartamento,N/A,$ 228.000.000
https://www.properati.com.co/detalle/14032-32-12f0-26dc38f4208a-18faca0-8de8-7e84,"Ibagué, Tolima",1 habitación,2 baños,52 m²,Apartamento,4,$ 181.000.000
https://www.properati.com.co/detalle/14032-32-1e85-85e816f0371-a75208ee-be6f-405d,"Ibagué, Tolima",3 habitaciones,2 baños,63 m²,Apartamento,4,$ 130.000.000
https://www.properati.com.co/detalle/14032-32-60df-73f1bc8308a-c80e430-a091-1f3e,"Ibagué, Tolima",3 habitaciones,2 baños,110 m²,Apartamento,4,$ 433.000.000
https://www.properati.com.co/detalle/14032-32-dcec-52e629fd5bd4-f897aeb6-b38c-4cce,"Ibagué, Tolima",N/A,N/A,N/A,Apartamento,4,$ 483.000.000
https://www.properati.com.co/detalle/14032-32-b11f-ca1d930fcdcd-1914ec1-940d-78a9,"Ibagué, Tolima",2 habitaciones,2 baños,57 m²,Apartamento,4,$ 265.000.000
https://www.properati.com.co/detalle/14032-32-7a82-636b865f7eb3-73c79c1d-a0a7-46b7,"Ibagué, Tolima",3 habitaciones,2 baños,89 m²,Apartamento,4,$ 379.000.000
