URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-b166-3425ec7dcc9-20b9966f-af6b-4edb,"Manizales, Caldas",4 habitaciones,2 baños,110 m²,Casa,3.0,$ 349.000.000
https://www.properati.com.co/detalle/14032-32-8503-5ae70ca5f23f-82c5db53-b5ef-4711,"Manizales, Caldas",5 habitaciones,3 baños,220 m²,Casa,4.0,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-e9a3-db25d2ebca32-1ca199dc-a1d1-40fd,"Manizales, Caldas",5 habitaciones,2 baños,131 m²,Casa,6.0,$ 690.000.000
https://www.properati.com.co/detalle/14032-32-334c-95e51eb9a813-133302e0-b6ac-45c1,"Manizales, Caldas",6 habitaciones,5 baños,1.750 m²,Casa,,$ 2.400.000.000
https://www.properati.com.co/detalle/14032-32-782a-ba4ca2eeeb33-11808088-a104-462c,"Manizales, Caldas",3 habitaciones,3 baños,110 m²,Casa,3.0,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-7caf-1fb58aad920-64074c2c-becd-41de,"Manizales, Caldas",4 habitaciones,3 baños,120 m²,Casa,3.0,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-ed49-96576239dfb4-6e32de8c-be75-3f44,"Manizales, Caldas",4 habitaciones,4 baños,320 m²,Casa,6.0,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-a4fb-638934a7abb5-1914a43-83f6-72a7,"Manizales, Caldas",6 habitaciones,4 baños,247 m²,Casa,3.0,$ 720.000.000
https://www.properati.com.co/detalle/14032-32-6ec8-4f159b2fc4a2-3bf546d7-a67c-4d00,"Manizales, Caldas",9 habitaciones,3 baños,259 m²,Casa,3.0,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-9e9b-98637ee2df06-5ecf5384-8df9-415a,"Manizales, Caldas",4 habitaciones,2 baños,192 m²,Casa,2.0,$ 348.000.000
https://www.properati.com.co/detalle/14032-32-8835-f370cba9bb77-5fc3426e-af04-4cb9,"Manizales, Caldas",3 habitaciones,2 baños,1.100 m²,Casa,6.0,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-fa20-4ed955e535f4-6f1a16b5-b626-44f8,"Manizales, Caldas",3 habitaciones,1 baño,80 m²,Casa,3.0,$ 278.000.000
https://www.properati.com.co/detalle/14032-32-9882-d00f1e9b2761-af27fe89-a9c5-42f8,"Manizales, Caldas",3 habitaciones,2 baños,,Casa,4.0,$ 795.000.000
