URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-d1e6-3321138bcac9-18f4c20-9fd7-7b92,"Suroriente, Barranquilla, Atlántico",2 habitaciones,4 baños,171 m²,Apartamento,6.0,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-6973-acb2e2e4798d-18fad92-c006-754e,"Suroriente, Barranquilla, Atlántico",2 habitaciones,4 baños,210 m²,Apartamento,6.0,$ 1.750.000.000
https://www.properati.com.co/detalle/14032-32-3ff8-27e06ccaa16-18f4d23-ab08-72aa,"El Poblado, Medellín, Antioquia",2 habitaciones,3 baños,102 m²,Apartamento,6.0,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-b6d4-a9597f9b8264-19199ef-8469-7a7c,"Suroriente, Barranquilla, Atlántico",3 habitaciones,5 baños,311 m²,Apartamento,,$ 3.400.000.000
https://www.properati.com.co/detalle/14032-32-b5ec-3d56a5c393f2-191c56d-955e-740a,"Suroriente, Barranquilla, Atlántico",2 habitaciones,3 baños,113 m²,Apartamento,6.0,$ 880.000.000
https://www.properati.com.co/detalle/14032-32-afa0-2b8f198a4851-191c569-a6a7-7e73,"Suroriente, Barranquilla, Atlántico",2 habitaciones,3 baños,80 m²,Apartamento,,$ 680.000.000
https://www.properati.com.co/detalle/14032-32-40d1-1dca74651a63-2b89d820-bd54-2005,"Candelaria, Medellín, Antioquia",4 habitaciones,4 baños,217 m²,Apartamento,5.0,$ 740.000.000
https://www.properati.com.co/detalle/14032-32-15b0-51186ee02187-19199f0-b29b-7a28,"Suroriente, Barranquilla, Atlántico",3 habitaciones,5 baños,345 m²,Apartamento,,$ 1.725.000.000
https://www.properati.com.co/detalle/14032-32-16a4-d4c4a0a2622a-18f4d2f-a90e-7024,"Suroriente, Barranquilla, Atlántico",3 habitaciones,4 baños,204 m²,Apartamento,,$ 970.000.000
https://www.properati.com.co/detalle/14032-32-a858-3a09e8812258-18f4cc8-b7c6-78ce,"Altavista, Medellín, Antioquia",3 habitaciones,3 baños,132 m²,Apartamento,,$ 1.150.000.000
