URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-9f42-cef0a23ce256-18fbd63-96d7-7789,"Montería, Córdoba",N/A,N/A,N/A,Apartamento,N/A,$ 280.000.000
https://www.properati.com.co/detalle/14032-32-40c2-14262a3754aa-76a8fe6f-bfff-4e6a,"Montería, Córdoba",N/A,N/A,N/A,Apartamento,N/A,$ 647.015.493
https://www.properati.com.co/detalle/14032-32-6af6-8fa3aa56076e-daab3b89-a7d2-34e2,"Montería, Córdoba",N/A,N/A,N/A,Apartamento,N/A,$ 176.000.000
https://www.properati.com.co/detalle/14032-32-4acb-820669aa0cf0-a2c51cd7-92ba-30a3,"Montería, Córdoba",2 habitaciones,2 baños,80 m²,Apartamento,N/A,$ 315.000.000
https://www.properati.com.co/detalle/14032-32-7ab6-30ffd534e565-683b7097-bea2-37a9,"Montería, Córdoba",3 habitaciones,2 baños,115 m²,Apartamento,5,$ 315.000.000
https://www.properati.com.co/detalle/14032-32-bf74-23a3bacd3331-a07dfe79-9f86-353e,"Montería, Córdoba",N/A,N/A,N/A,Apartamento,6,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-7b76-dffd15526001-6efba3bd-b70a-39fb,"Montería, Córdoba",2 habitaciones,4 baños,143 m²,Apartamento,6,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-83d1-d29b984fcc64-5b401004-8d8c-3fe0,"Montería, Córdoba",4 habitaciones,3 baños,430 m²,Apartamento,N/A,$ 1.504.828.206
https://www.properati.com.co/detalle/14032-32-c0c0-8424f773ee5b-190c791-c004-7b76,"Montería, Córdoba",N/A,N/A,N/A,Apartamento,3,$ 200.000.000
https://www.properati.com.co/detalle/14032-32-a62b-a43ebb984f9-afe5c413-a956-30fe,"El Recreo, Montería, Córdoba",3 habitaciones,3 baños,138 m²,Apartamento,5,$ 580.000.000
https://www.properati.com.co/detalle/14032-32-e379-45c1ae0f9690-c2b61ffe-8df8-4322,"Montería, Córdoba",N/A,N/A,N/A,Apartamento,N/A,$ 1.632.347.904
https://www.properati.com.co/detalle/14032-32-1181-79d1f31463c1-f69071ce-8d07-3e59,"El Recreo, Montería, Córdoba",3 habitaciones,4 baños,138 m²,Apartamento,N/A,$ 690.000.000
https://www.properati.com.co/detalle/14032-32-15d1-18f166ed060-edcbd0a2-b100-3ed4,"Montería, Córdoba",3 habitaciones,3 baños,250 m²,Apartamento,N/A,$ 830.000.000
https://www.properati.com.co/detalle/14032-32-b5a9-2e015c8904c-c0e85cdb-9ca0-3617,"Montería, Córdoba",3 habitaciones,5 baños,280 m²,Apartamento,N/A,$ 1.385.000.000
https://www.properati.com.co/detalle/14032-32-bd3f-e6e66f69d34e-a00f28a9-ae1a-3aab,"Montería, Córdoba",3 habitaciones,3 baños,114 m²,Apartamento,N/A,$ 375.000.000
https://www.properati.com.co/detalle/14032-32-a5a8-d411452a0438-99c03434-bbc0-3047,"Montería, Córdoba",3 habitaciones,5 baños,150 m²,Apartamento,N/A,$ 537.000.000
https://www.properati.com.co/detalle/14032-32-bc45-438504424d9b-7d7c9058-8aa7-3647,"Montería, Córdoba",2 habitaciones,2 baños,55 m²,Apartamento,N/A,$ 185.000.000
https://www.properati.com.co/detalle/14032-32-19ba-35715af4f4c1-7a02da78-8504-3d3b,"El Recreo, Montería, Córdoba",3 habitaciones,4 baños,200 m²,Apartamento,N/A,$ 620.000.000
https://www.properati.com.co/detalle/14032-32-95eb-a49e6afc1653-b2678df9-9fba-36a7,"Montería, Córdoba",3 habitaciones,3 baños,230 m²,Apartamento,N/A,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-1a9b-8a4051a42c9d-6b8e3d5e-8a33-307a,"Montería, Córdoba",2 habitaciones,2 baños,92 m²,Apartamento,N/A,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-5180-a5521e8796df-21ea65d-b64c-36b6,"Montería, Córdoba",3 habitaciones,2 baños,77 m²,Apartamento,N/A,$ 285.000.000
https://www.properati.com.co/detalle/14032-32-676e-cf9731f08432-1920404-8f5d-724e,"Montería, Córdoba",4 habitaciones,3 baños,103 m²,Apartamento,N/A,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-fda4-512535ff003a-d6879585-b6b1-3050,"Montería, Córdoba",2 habitaciones,2 baños,93 m²,Apartamento,N/A,$ 315.000.000
https://www.properati.com.co/detalle/14032-32-21c2-6608026032bc-a079973c-8a98-3290,"El Recreo, Montería, Córdoba",2 habitaciones,2 baños,54 m²,Apartamento,N/A,$ 190.000.000
https://www.properati.com.co/detalle/14032-32-9ff9-fd2d48360887-5686c1a2-8372-3161,"Montería, Córdoba",3 habitaciones,2 baños,208 m²,Apartamento,N/A,$ 583.000.000
https://www.properati.com.co/detalle/14032-32-2c50-abc577b417c5-3c4b5acf-a8c5-3910,"Montería, Córdoba",3 habitaciones,4 baños,182 m²,Apartamento,N/A,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-fce2-2a50b8c574ed-3b0df155-83cf-3594,"Montería, Córdoba",4 habitaciones,4 baños,200 m²,Apartamento,N/A,$ 595.000.000
https://www.properati.com.co/detalle/14032-32-724a-d7ac6a3f9f23-c0220b07-872e-3be1,"El Recreo, Montería, Córdoba",3 habitaciones,5 baños,141 m²,Apartamento,N/A,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-1e60-75367191ac25-a8db43ca-8d45-30dd,"Montería, Córdoba",3 habitaciones,3 baños,153 m²,Apartamento,N/A,$ 850.000.000
