URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-3b66-e0e49ee96843-e3e33d20-ada8-4d83,"Neiva, Huila",4 habitaciones,3 baños,155 m²,Apartamento,3,$ 490.000.000
https://www.properati.com.co/detalle/14032-32-40c5-bde2642bd7e9-a8b3df49-a6e8-466c,"Neiva, Huila",3 habitaciones,1 baño,49 m²,Apartamento,2,$ 110.000.000
https://www.properati.com.co/detalle/14032-32-2555-76960d176318-3287dd4c-98d2-4946,"Neiva, Huila",3 habitaciones,2 baños,99 m²,Apartamento,4,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-5f2d-fe734632e7f7-f7a3ead7-bc08-466f,"Neiva, Huila",3 habitaciones,2 baños,136 m²,Apartamento,3,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-efc2-839c0fd3a0a7-7be80abd-a6d8-4607,"Neiva, Huila",3 habitaciones,2 baños,208 m²,Apartamento,3,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-22f1-2eab953b0aa1-1925106-b133-7a49,"Neiva, Huila",2 habitaciones,2 baños,80 m²,Apartamento,4,$ 260.000.000
https://www.properati.com.co/detalle/14032-32-a481-8dcd4b529483-be1f46e2-846f-42a2,"Neiva, Huila",3 habitaciones,2 baños,102 m²,Apartamento,4,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-9c35-36e5441a58c1-bad9dcf4-93f0-4ebc,"Neiva, Huila",3 habitaciones,2 baños,101 m²,Apartamento,3,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-907-9236b8ed0e8d-a1e86edc-96f0-4a98,"Neiva, Huila",3 habitaciones,2 baños,74 m²,Apartamento,3,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-252c-db10ca22107-993c6398-aaab-4fe4,"Neiva, Huila",3 habitaciones,2 baños,70 m²,Apartamento,4,$ 190.000.000
https://www.properati.com.co/detalle/14032-32-ef28-bfe04fa543a5-191e759-a580-79b5,"Neiva, Huila",3 habitaciones,3 baños,138 m²,Apartamento,5,$ 840.000.000
https://www.properati.com.co/detalle/14032-32-93b-62c21e7f9ec9-1914df2-8588-7f0d,"Neiva, Huila",3 habitaciones,2 baños,101 m²,Apartamento,4,$ 520.000.000
https://www.properati.com.co/detalle/14032-32-747a-72e580a76904-f4741ee8-97d5-431f,"Neiva, Huila",22 habitaciones,2 baños,86 m²,Apartamento,4,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-dd08-91933989a7be-190a42d-96fc-7023,"Neiva, Huila",N/A,N/A,N/A,Apartamento,4,$ 195.000.000
https://www.properati.com.co/detalle/14032-32-e0c-52297338629b-2aec8cf2-a2c1-4a00,"Neiva, Huila",3 habitaciones,2 baños,62 m²,Apartamento,3,$ 145.000.000
https://www.properati.com.co/detalle/14032-32-5c8c-e3de0ba4a169-77f88a96-bf76-4ee6,"Neiva, Huila",N/A,N/A,N/A,Apartamento,5,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-1557-a355a130eb92-c6051010-a420-433a,"Neiva, Huila",3 habitaciones,2 baños,58 m²,Apartamento,2,$ 165.000.000
https://www.properati.com.co/detalle/14032-32-5b2-2d2bcd73b65d-113f3dfa-ac4d-4405,"Neiva, Huila",3 habitaciones,2 baños,120 m²,Apartamento,3,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-f543-6d4c9d29e973-b85f55d5-8866-4a73,"Neiva, Huila",3 habitaciones,2 baños,104 m²,Apartamento,3,$ 298.000.000
https://www.properati.com.co/detalle/14032-32-c17e-6248ecf01abf-19248e1-a8bd-7029,"Neiva, Huila",N/A,N/A,N/A,Apartamento,4,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-cc04-72179dc73f01-e96889e3-b364-3d8b,"Neiva, Huila",3 habitaciones,2 baños,112 m²,Apartamento,4,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-cb8-e55cdccda2e0-ffc0df1e-ad48-440e,"Neiva, Huila",3 habitaciones,2 baños,62 m²,Apartamento,3,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-84c7-b253d26ec8ca-1919b04-84cd-70cd,"Neiva, Huila",3 habitaciones,3 baños,145 m²,Apartamento,5,$ 420.000.000
https://www.properati.com.co/detalle/14032-32-c931-b915307f18c8-1919b04-b5a6-78b1,"Neiva, Huila",3 habitaciones,3 baños,174 m²,Apartamento,7,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-dbda-766e48e22970-cf12b63a-ba1d-3eba,"Neiva, Huila",3 habitaciones,3 baños,85 m²,Apartamento,4,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-9a05-faaca7bb1d3c-190c2b9-a2a2-7300,"Neiva, Huila",3 habitaciones,3 baños,163 m²,Apartamento,4,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-374a-f64d4ac03965-1919b05-a865-7867,"Neiva, Huila",2 habitaciones,2 baños,88 m²,Apartamento,2,$ 190.000.000
https://www.properati.com.co/detalle/14032-32-44fe-520fe31b6f0d-1919b04-bcfd-791b,"Neiva, Huila",1 habitación,1 baño,62 m²,Apartamento,4,$ 180.000.000
https://www.properati.com.co/detalle/14032-32-f33b-860e4e1af892-f5103a8c-8f0b-3418,"Neiva, Huila",N/A,N/A,N/A,Apartamento,4,$ 285.000.000
https://www.properati.com.co/detalle/14032-32-8177-f780b88c8ff4-8ad897de-a0c0-4e43,"Neiva, Huila",2 habitaciones,2 baños,74 m²,Apartamento,2,$ 215.000.000
https://www.properati.com.co/detalle/14032-32-ccda-b5a535fc4baa-c61658b0-ae6a-120d,"Neiva, Huila",3 habitaciones,2 baños,72 m²,Apartamento,3,$ 235.000.000
https://www.properati.com.co/detalle/14032-32-b4a-6a92eb5a78c8-191a4cd-b998-761c,"Neiva, Huila",3 habitaciones,2 baños,53 m²,Apartamento,3,$ 200.000.000
https://www.properati.com.co/detalle/14032-32-fe72-9f473a3b62f0-51a09c97-9dd8-497d,"Neiva, Huila",3 habitaciones,3 baños,101 m²,Apartamento,5,$ 495.000.000
https://www.properati.com.co/detalle/14032-32-c311-c7617600b540-20beb500-acc5-120e,"Neiva, Huila",3 habitaciones,3 baños,225 m²,Apartamento,5,$ 590.000.000
https://www.properati.com.co/detalle/14032-32-503d-7310263dd6af-1910b98-9597-7f97,"Neiva, Huila",3 habitaciones,3 baños,86 m²,Apartamento,5,$ 460.000.000
https://www.properati.com.co/detalle/14032-32-b4d3-84e9f2fd8d64-60a50582-a384-3b7a,"Neiva, Huila",3 habitaciones,2 baños,140 m²,Apartamento,N/A,$ 295.000.000
https://www.properati.com.co/detalle/14032-32-d5eb-cd305f80ac08-18f9d2e-8875-72fa,"Neiva, Huila",4 habitaciones,4 baños,138 m²,Apartamento,4,$ 280.000.000
https://www.properati.com.co/detalle/14032-32-7560-befb3f44c763-6d09d6ad-bd0c-3996,"Neiva, Huila",N/A,N/A,N/A,Apartamento,3,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-b267-b4f79ade0102-1915d37-80b1-74bf,"Neiva, Huila",3 habitaciones,3 baños,127 m²,Apartamento,4,$ 430.000.000
https://www.properati.com.co/detalle/14032-32-765f-3d634b194a99-61842e69-add8-3cf4,"Neiva, Huila",3 habitaciones,4 baños,156 m²,Apartamento,4,$ 490.000.000
https://www.properati.com.co/detalle/14032-32-995-f86b4d7b1a3a-18f8dbc-b172-74b1,"Neiva, Huila",3 habitaciones,3 baños,108 m²,Apartamento,4,$ 225.000.000
https://www.properati.com.co/detalle/14032-32-9552-c31153631d68-18efa58-bedc-77c4,"Neiva, Huila",3 habitaciones,4 baños,137 m²,Apartamento,4,$ 410.000.000
https://www.properati.com.co/detalle/14032-32-3e54-d3eff08fae71-492a2ad0-8998-33ec,"Neiva, Huila",4 habitaciones,4 baños,238 m²,Apartamento,4,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-15ff-537ff32366b0-c8bb0e17-bad9-38dc,"Neiva, Huila",3 habitaciones,3 baños,138 m²,Apartamento,4,$ 350.000.000
