URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-f4ce-89ed89fcffea-1921f5b-b205-7355,"Neiva, Huila",6 habitaciones,2 baños,95 m²,Casa,4,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-f3aa-1b4001a78db0-191817a-a783-7f01,"Neiva, Huila",3 habitaciones,4 baños,300 m²,Casa,3,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-6331-f62b3d52df56-1920ad0-ad8a-702d,"Neiva, Huila",3 habitaciones,2 baños,138 m²,Casa,2,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-918e-b4ba48b52710-fd1cc8eb-9369-4b08,"Neiva, Huila",3 habitaciones,2 baños,170 m²,Casa,3,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-dad5-34aca2fec566-8fc65c54-8b5f-4173,"Neiva, Huila",5 habitaciones,4 baños,400 m²,Casa,3,$ 1.180.000.000
https://www.properati.com.co/detalle/14032-32-d877-cce650807f2e-86892139-ac58-4807,"Neiva, Huila",5 habitaciones,3 baños,207 m²,Casa,4,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-e2e9-98da68646ee8-16698b99-88f2-479b,"Neiva, Huila",4 habitaciones,2 baños,434 m²,Casa,3,$ 520.000.000
https://www.properati.com.co/detalle/14032-32-a644-689e41ef609e-d5e2c1e-9a56-4d3f,"Neiva, Huila",16 habitaciones,15 baños,826 m²,Casa,2,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-d1cd-2a8c0a05c78a-48fe10a0-8daf-40cb,"Neiva, Huila",8 habitaciones,3 baños,234 m²,Casa,3,$ 340.000.000
https://www.properati.com.co/detalle/14032-32-549d-f46fc2229243-19205cb-8e4d-7134,"Neiva, Huila",18 habitaciones,17 baños,361 m²,Casa,4,$ 1.900.000.000
https://www.properati.com.co/detalle/14032-32-ec84-f99337f8bdcc-191e1a7-95f3-79b2,"Neiva, Huila",5 habitaciones,3 baños,151 m²,Casa,2,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-98e8-df988e399e8e-191354b-a5d7-757e,"Neiva, Huila",3 habitaciones,2 baños,154 m²,Casa,5,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-f236-2f1bee1c02bf-190f056-a8d9-7ce5,"Neiva, Huila",3 habitaciones,3 baños,110 m²,Casa,3,$ 360.000.000
https://www.properati.com.co/detalle/14032-32-129c-abad68ff836-d248edc5-834e-4313,"Neiva, Huila",4 habitaciones,4 baños,203 m²,Casa,3,$ 610.000.000
https://www.properati.com.co/detalle/14032-32-63d9-7ece8464b4e5-5da89d23-8b74-45ec,"Neiva, Huila",5 habitaciones,3 baños,408 m²,Casa,2,$ 1.400.000.000
https://www.properati.com.co/detalle/14032-32-368e-28c4af8b27e3-d7ef7bb1-bba1-4664,"Neiva, Huila",6 habitaciones,3 baños,222 m²,Casa,7,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-ab6c-9171cd1a8ac-7d875b04-81a9-45ce,"Neiva, Huila",3 habitaciones,2 baños,120 m²,Casa,3,$ 229.000.000
https://www.properati.com.co/detalle/14032-32-8ae5-1649937ad000-e7f1f0c-b669-441f,"Neiva, Huila",5 habitaciones,3 baños,682 m²,Casa,3,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-ebbd-af5e09759a0-19248d5-a8bd-7029,"Neiva, Huila",N/A,N/A,N/A,Casa,5,$ 590.000.000
https://www.properati.com.co/detalle/14032-32-7012-a4e5382c5440-1389f5c5-b3fc-4f6a,"Neiva, Huila",4 habitaciones,3 baños,188 m²,Casa,3,$ 510.000.000
https://www.properati.com.co/detalle/14032-32-5ee-5983d9258cc0-3a52e1cf-98fb-4fbe,"Neiva, Huila",N/A,N/A,N/A,Casa,2,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-7d66-a1b70974934d-191fbca-af4c-7acd,"Neiva, Huila",4 habitaciones,2 baños,85 m²,Casa,2,$ 140.000.000
https://www.properati.com.co/detalle/14032-32-20a4-39d1a73b0db8-9bc749dc-bf9b-49d2,"Neiva, Huila",5 habitaciones,2 baños,92 m²,Casa,2,$ 180.000.000
https://www.properati.com.co/detalle/14032-32-33a0-1f659bfcbca9-5a41597c-ab8a-46e7,"Neiva, Huila",4 habitaciones,6 baños,414 m²,Casa,4,$ 1.999.000.000
https://www.properati.com.co/detalle/14032-32-1e93-acde319bf154-191dc85-8f2f-7350,"Neiva, Huila",8 habitaciones,5 baños,238 m²,Casa,2,$ 930.000.000
