URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-e977-e959c9f8034e-41f22f21-a5ca-410c,"Pasto, Nariño",3 habitaciones,2 baños,105 m²,Apartamento,N/A,$ 370.000.000
https://www.properati.com.co/detalle/14032-32-e739-b6122804adb8-a9775498-b4c6-43c2,"Pasto, Nariño",3 habitaciones,2 baños,107 m²,Apartamento,5,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-e7d2-d94980fe7f58-d9ea6b42-bfaa-3653,"Pasto, Nariño",2 habitaciones,1 baño,58 m²,Apartamento,3,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-faf2-7a1f86cc9e4e-7933f8e-949a-4898,"Pasto, Nariño",N/A,N/A,N/A,Apartamento,2,$ 215.000.000
https://www.properati.com.co/detalle/14032-32-7a97-b63fb2a93903-969bce1-81ba-3f3a,"Pasto, Nariño",3 habitaciones,3 baños,148 m²,Apartamento,5,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-ea50-c73f21a311d0-bb2a41fc-aed0-499f,"Pasto, Nariño",3 habitaciones,2 baños,90 m²,Apartamento,4,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-7b03-eb49bc286b0d-190c7e6-80ec-7463,"Pasto, Nariño",1 habitación,2 baños,40 m²,Apartamento,4,$ 239.000.000
https://www.properati.com.co/detalle/14032-32-367-a9c67b5bb553-1925308-a1f2-7027,"Pasto, Nariño",4 habitaciones,3 baños,225 m²,Apartamento,5,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-d552-b5a11e1eddcc-7aeda08a-80ea-4887,"Pasto, Nariño",3 habitaciones,3 baños,102 m²,Apartamento,N/A,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-f7f0-71c6931b7f06-1913f3c-9e9d-7970,"Pasto, Nariño",3 habitaciones,2 baños,107 m²,Apartamento,5,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-9ed1-e542728351b6-1920afd-b22c-7ac2,"Pasto, Nariño",4 habitaciones,2 baños,N/A,Apartamento,N/A,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-2117-ae199c685c04-1923f98-94bb-79bf,"Pasto, Nariño",N/A,N/A,N/A,Apartamento,N/A,$ 369.000.000
