URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-e444-d5c939c4ab1e-3809b8d0-b852-329e,"Pasto, Nariño",4 habitaciones,3 baños,240 m²,Casa,5,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-f04e-3e6f997b57bb-1922c18-8a85-7430,"Pasto, Nariño",3 habitaciones,3 baños,273 m²,Casa,5,$ 1.080.000.000
https://www.properati.com.co/detalle/14032-32-9797-b5822c3a7d87-2335dc87-a009-4f3b,"Pasto, Nariño",3 habitaciones,3 baños,958 m²,Casa,4,$ 829.583.410
https://www.properati.com.co/detalle/14032-32-5240-d308219ca529-1924a96-930c-801e,"Pasto, Nariño",N/A,N/A,N/A,Casa,N/A,$ 680.000.000
https://www.properati.com.co/detalle/14032-32-c3fa-87894df2dadb-191c9f0-9cae-702b,"Pasto, Nariño",N/A,N/A,N/A,Casa,N/A,$ 1.395.000.000
https://www.properati.com.co/detalle/14032-32-b810-d49289d270e8-191d255-b76e-7bc9,"Pasto, Nariño",4 habitaciones,4 baños,587 m²,Casa,4,$ 1.395.000.000
https://www.properati.com.co/detalle/14032-32-aa02-4ccb91a45487-191d255-8cf1-7ae6,"Pasto, Nariño",4 habitaciones,4 baños,587 m²,Casa,4,$ 1.395.000.000
https://www.properati.com.co/detalle/14032-32-3418-866a4c268b6e-1921595-ba03-7794,"Pasto, Nariño",N/A,N/A,N/A,Casa,4,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-6deb-ec62e2ca2b2e-7ece9c91-b91b-4dfc,"Pasto, Nariño",N/A,N/A,N/A,Casa,N/A,$ 498.000.000
https://www.properati.com.co/detalle/14032-32-e45f-ff2b4b6ec6b7-191fbde-92b7-74fc,"Pasto, Nariño",N/A,N/A,N/A,Casa,N/A,$ 1.395.000.000
https://www.properati.com.co/detalle/14032-32-c324-f4e7cb735243-ef9b5652-a056-35b5,"Pasto, Nariño",4 habitaciones,4 baños,145 m²,Casa,3,$ 610.000.000
https://www.properati.com.co/detalle/14032-32-584e-87cb7ec4d968-d292de2b-b845-3666,"Pasto, Nariño",8 habitaciones,6 baños,450 m²,Casa,4,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-d5ff-7835c912a4ed-e6b0a5cf-879c-498f,"Pasto, Nariño",6 habitaciones,3 baños,187 m²,Casa,N/A,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-dee3-80c1295af138-3b899418-8f2b-3030,"Pasto, Nariño",5 habitaciones,4 baños,1 m²,Casa,N/A,$ 480.000.000
https://www.properati.com.co/detalle/14032-32-ffce-356b89f4229e-649053b3-b5e2-315e,"Pasto, Nariño",5 habitaciones,3 baños,171 m²,Casa,3,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-6df5-abd6e5fc416e-4719460a-913c-3327,"Pasto, Nariño",3 habitaciones,1 baño,122 m²,Casa,1,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-161b-a3caa82145a9-d5da1202-9cd6-3b3e,"Pasto, Nariño",8 habitaciones,4 baños,280 m²,Casa,3,$ 1.270.000.000
https://www.properati.com.co/detalle/14032-32-59df-320b4e006c0f-b579d81f-b346-3dc4,"Pasto, Nariño",4 habitaciones,2 baños,130 m²,Casa,3,$ 235.000.000
https://www.properati.com.co/detalle/14032-32-957a-720b23ab9d92-c7c16380-8e38-3c82,"Pasto, Nariño",N/A,N/A,N/A,Casa,N/A,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-a994-3cf186ac21fb-69f66995-adfa-30f3,"Pasto, Nariño",10 habitaciones,10 baños,1.000 m²,Casa,3,$ 1.500.000.000
https://www.properati.com.co/detalle/14032-32-e63d-9b4990375b4a-2731c75e-984e-37fc,"Pasto, Nariño",N/A,N/A,N/A,Casa,1,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-4f53-98a3ee761d82-ccdbdd53-b443-418c,"Pasto, Nariño",3 habitaciones,2 baños,78 m²,Casa,N/A,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-fbf4-39f70d8a3bb-93e2f0e0-9960-4720,"Pasto, Nariño",5 habitaciones,3 baños,192 m²,Casa,N/A,$ 430.000.000
https://www.properati.com.co/detalle/14032-32-8613-4d55175c4450-1914a94-a9b0-7984,"Pasto, Nariño",5 habitaciones,6 baños,451 m²,Casa,3,$ 980.000.000
https://www.properati.com.co/detalle/14032-32-dd9c-11de5a2d56c4-18f8997-8818-788b,"Pasto, Nariño",6 habitaciones,5 baños,527 m²,Casa,N/A,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-bd6a-755d43accf-de742377-bd2a-4bb9,"Pasto, Nariño",4 habitaciones,2 baños,109 m²,Casa,2,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-fd19-1d383b8bc216-d9bcc761-81ff-32c0,"Pasto, Nariño",N/A,N/A,N/A,Casa,N/A,$ 693.858.000
