URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-6320-42f74606bd5e-4927ce1a-b292-45ec,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,4,$ 775.000.000
https://www.properati.com.co/detalle/14032-32-897-caeb58761c36-1910b30-a4d1-7799,"Santa Marta, Magdalena",3 habitaciones,2 baños,N/A,Casa,3,$ 355.000.000
https://www.properati.com.co/detalle/14032-32-88dd-28e34d97ea63-190e5af-a483-7f0c,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,3,$ 279.000.000
https://www.properati.com.co/detalle/14032-32-98bb-46ba41aa32a0-1666654b-ac77-3d94,"Santa Marta, Magdalena",2 habitaciones,3 baños,110 m²,Casa,N/A,$ 1.100.000
https://www.properati.com.co/detalle/14032-32-d8c3-c523f36959a6-191d48d-9718-7973,"Santa Marta, Magdalena",4 habitaciones,5 baños,720 m²,Casa,6,$ 2.500.000.000
https://www.properati.com.co/detalle/14032-32-c8d2-cd6874928f42-1dde3fbd-8b38-3965,"Santa Marta, Magdalena",4 habitaciones,6 baños,188 m²,Casa,N/A,$ 1.500.000.000
https://www.properati.com.co/detalle/14032-32-34db-5edd72270cfa-191498c-af6c-7349,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,4,$ 1.700.000.000
https://www.properati.com.co/detalle/14032-32-d225-4b42dcc6318a-18f9ef4-b64e-7220,"Santa Marta, Magdalena",3 habitaciones,4 baños,130 m²,Casa,6,$ 530.000.000
https://www.properati.com.co/detalle/14032-32-a8cb-2e2f6a6bb64a-18f4178-912c-7b05,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,4,$ 360.000.000
https://www.properati.com.co/detalle/14032-32-d057-defb9d0141fe-94dcfa9e-96c1-3f4a,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,N/A,$ 870.000.000
https://www.properati.com.co/detalle/14032-32-f97-b50116886f8-1918c78-96d1-7ab0,"Santa Marta, Magdalena",3 habitaciones,4 baños,164 m²,Casa,4,$ 700.000.000
https://www.properati.com.co/detalle/14032-32-f4aa-70685e9bf40b-18f4d04-aa47-7217,"Santa Marta, Magdalena",5 habitaciones,4 baños,1.054 m²,Casa,N/A,$ 1.700.000.000
https://www.properati.com.co/detalle/14032-32-a541-c693628b355f-8110c555-929d-4f85,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,6,$ 490.000.000
https://www.properati.com.co/detalle/14032-32-ecaf-a0965796a20c-6d50f213-b173-421e,"Santa Marta, Magdalena",3 habitaciones,2 baños,N/A,Casa,4,$ 365.000.000
https://www.properati.com.co/detalle/14032-32-b156-8b7a974bf94c-e17e4279-a185-4d0f,"Santa Marta, Magdalena",4 habitaciones,3 baños,962 m²,Casa,2,$ 799.300.000
https://www.properati.com.co/detalle/14032-32-d053-5706c83520c6-19106a2-9ec9-71bd,"Santa Marta, Magdalena",6 habitaciones,3 baños,70 m²,Casa,3,$ 299.000.000
https://www.properati.com.co/detalle/14032-32-20d6-355c3e0053c6-2e11144e-9312-47f4,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,5,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-3ea4-4d2f62a8933b-63ff03f3-bc42-454a,"Santa Marta, Magdalena",8 habitaciones,7 baños,350 m²,Casa,3,$ 550
https://www.properati.com.co/detalle/14032-32-bb5d-8c0be5216666-70d96d85-8b09-3587,"Santa Marta, Magdalena",3 habitaciones,2 baños,600 m²,Casa,3,$ 550
https://www.properati.com.co/detalle/14032-32-9c40-f50ab87268a0-1919fe1-b17f-7ceb,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,3,$ 329.700.000
https://www.properati.com.co/detalle/14032-32-2b85-23536549d759-18f4ba4-a769-7743,"Santa Marta, Magdalena",4 habitaciones,4 baños,250 m²,Casa,6,$ 1.050.000.000
https://www.properati.com.co/detalle/14032-32-6b79-dca21f591575-18f4c35-a2cf-7f47,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,3,$ 175.000.000
https://www.properati.com.co/detalle/14032-32-9913-1eb61e55f1c0-1907673-8d01-7a62,"Santa Marta, Magdalena",4 habitaciones,3 baños,310 m²,Casa,4,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-e5d-9c70648cacee-18f4b97-ae9a-7ca8,"Santa Marta, Magdalena",2 habitaciones,2 baños,89 m²,Casa,N/A,$ 317.492.600
https://www.properati.com.co/detalle/14032-32-5431-b84826aec16a-ec71c380-82e2-498f,"Santa Marta, Magdalena",3 habitaciones,2 baños,100 m²,Casa,3,$ 260
https://www.properati.com.co/detalle/14032-32-3e1d-83238051a081-18f4c02-8c50-7a09,"Santa Marta, Magdalena",3 habitaciones,3 baños,130 m²,Casa,5,$ 365.000.000
https://www.properati.com.co/detalle/14032-32-1323-ada1ac2617eb-1900f6f-bab0-7d44,"Santa Marta, Magdalena",4 habitaciones,5 baños,204 m²,Casa,4,$ 570.000.000
https://www.properati.com.co/detalle/14032-32-dcec-83e3dc52d238-19245dd-b89f-7f5d,"Santa Marta, Magdalena",3 habitaciones,3 baños,92 m²,Casa,5,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-240c-8f37f2648c69-1923671-9a9b-7e5d,"Santa Marta, Magdalena",3 habitaciones,4 baños,211 m²,Casa,N/A,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-d06e-ba6691559f4d-190525c-9233-740d,"Santa Marta, Magdalena",3 habitaciones,4 baños,130 m²,Casa,6,$ 530.000.000
https://www.properati.com.co/detalle/14032-32-4c6-1b6e5ad08b34-18fc242-9536-7740,"Santa Marta, Magdalena",3 habitaciones,3 baños,137 m²,Casa,5,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-ade5-f7f27dae87dc-1904809-b17a-7848,"Santa Marta, Magdalena",3 habitaciones,3 baños,210 m²,Casa,6,$ 520.000.000
https://www.properati.com.co/detalle/14032-32-1648-64a56cc09fb5-18f4c7b-9f1c-78e9,"Santa Marta, Magdalena",3 habitaciones,2 baños,120 m²,Casa,4,$ 525.000.000
https://www.properati.com.co/detalle/14032-32-8204-350cc29ac4ff-1915419-91cc-7803,"Santa Marta, Magdalena",6 habitaciones,3 baños,373 m²,Casa,4,$ 750.000.000
https://www.properati.com.co/detalle/14032-32-d3b9-9c9bfbeea223-18f4c76-9ae7-75d0,"Santa Marta, Magdalena",3 habitaciones,4 baños,163 m²,Casa,6,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-5e25-4179be7ad267-18f4d7c-9dc8-703a,"Santa Marta, Magdalena",4 habitaciones,3 baños,120 m²,Casa,4,$ 299.000.000
https://www.properati.com.co/detalle/14032-32-2289-5096649fc3e5-18f4d03-8ac3-7a6e,"Santa Marta, Magdalena",2 habitaciones,1 baño,95 m²,Casa,2,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-ff36-825c36898f4e-18f4c3e-aa13-73ec,"Santa Marta, Magdalena",2 habitaciones,1 baño,70 m²,Casa,4,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-3da2-4800eecbc458-18f846f-8a2d-7e29,"Santa Marta, Magdalena",3 habitaciones,2 baños,91 m²,Casa,3,$ 160.000.000
https://www.properati.com.co/detalle/14032-32-8ae0-aa6c6fa547c0-18f4bde-a8a8-730c,"Santa Marta, Magdalena",3 habitaciones,2 baños,90 m²,Casa,3,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-98c4-67058491017b-1914a4f-8f91-7dae,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,5,$ 2.100.000.000
https://www.properati.com.co/detalle/14032-32-b00d-e4c31aa0711d-1901ed9-93d5-7c15,"Santa Marta, Magdalena",3 habitaciones,3 baños,170 m²,Casa,5,$ 385.000.000
https://www.properati.com.co/detalle/14032-32-5169-86c873982146-190f719-9001-7989,"Santa Marta, Magdalena",3 habitaciones,1 baño,90 m²,Casa,2,$ 142.000.000
https://www.properati.com.co/detalle/14032-32-d606-9ea34894a05e-1914aa7-bc23-7190,"Santa Marta, Magdalena",3 habitaciones,3 baños,124 m²,Casa,5,$ 360.000.000
https://www.properati.com.co/detalle/14032-32-5be0-b409ec0a3666-1918246-aebd-7ecd,"Santa Marta, Magdalena",3 habitaciones,4 baños,112 m²,Casa,6,$ 530.000.000
https://www.properati.com.co/detalle/14032-32-3cc1-b5a55715a4c8-190f20b-aeed-71bf,"Santa Marta, Magdalena",3 habitaciones,3 baños,157 m²,Casa,6,$ 575.000.000
https://www.properati.com.co/detalle/14032-32-ee73-ba64686a2a2a-18f4c46-a062-7f51,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,4,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-813b-95155176905b-191f376-940f-7995,"Santa Marta, Magdalena",3 habitaciones,3 baños,371 m²,Casa,5,$ 1.850.000.000
https://www.properati.com.co/detalle/14032-32-256d-4c7f233fae34-66db2356-baeb-388f,"Santa Marta, Magdalena",3 habitaciones,3 baños,165 m²,Casa,6,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-9192-b8997317fa52-1921784-9aea-7e37,"Santa Marta, Magdalena",3 habitaciones,4 baños,195 m²,Casa,6,$ 1.350.000.000
https://www.properati.com.co/detalle/14032-32-8c21-be71b8f30724-1921784-b684-7e08,"Santa Marta, Magdalena",3 habitaciones,4 baños,200 m²,Casa,6,$ 1.350.000.000
https://www.properati.com.co/detalle/14032-32-80e5-369f5e56df2f-f4407da7-a7ed-3e22,"Santa Marta, Magdalena",3 habitaciones,3 baños,155 m²,Casa,6,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-c9f8-c5ba8c43c40a-18f4ccb-bd1f-72f7,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,N/A,$ 1.800.000.000
https://www.properati.com.co/detalle/14032-32-ff2c-37289db43856-19134f5-975f-7176,"Santa Marta, Magdalena",4 habitaciones,3 baños,N/A,Casa,4,$ 690.000.000
https://www.properati.com.co/detalle/14032-32-c63a-e686ea8a840d-1915416-bece-7e5f,"Santa Marta, Magdalena",5 habitaciones,6 baños,265 m²,Casa,4,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-f2d3-ab3725706575-190e834-a100-7b29,"Santa Marta, Magdalena",3 habitaciones,3 baños,100 m²,Casa,3,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-812-b31bdf47b29c-1913f3c-baf1-73b6,"Santa Marta, Magdalena",4 habitaciones,2 baños,72 m²,Casa,3,$ 279.000.000
https://www.properati.com.co/detalle/14032-32-ea2d-4be48fb43830-190a4c6-93d4-795b,"Santa Marta, Magdalena",3 habitaciones,3 baños,142 m²,Casa,4,$ 360.000.000
https://www.properati.com.co/detalle/14032-32-c2f2-64a815e438f5-1905cee-885a-7b34,"Santa Marta, Magdalena",N/A,N/A,N/A,Casa,3,$ 360.000.000
