URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-cbdf-c135c263c3a3-1914990-bd91-798d,"Sincelejo, Sucre",3 habitaciones,2 baños,98 m²,Apartamento,2,$ 245.000.000
https://www.properati.com.co/detalle/14032-32-405a-10921077e4f2-1914993-86ab-7a03,"Sincelejo, Sucre",3 habitaciones,2 baños,97 m²,Apartamento,2,$ 232.500.000
https://www.properati.com.co/detalle/14032-32-ecbf-bbf3b52869ff-18f4caf-87c4-7d41,"Sincelejo, Sucre",4 habitaciones,4 baños,222 m²,Apartamento,3,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-e63c-27b91650d6c0-18f4caf-b93d-7a6b,"Sincelejo, Sucre",N/A,N/A,N/A,Apartamento,3,$ 280.000.000
https://www.properati.com.co/detalle/14032-32-7db5-5a5b87d01de1-191dcc8-98f8-7466,"Sincelejo, Sucre",4 habitaciones,3 baños,132 m²,Apartamento,6,$ 235.160.000
https://www.properati.com.co/detalle/14032-32-1e52-6472d4676e11-191dce6-98f8-7466,"Sincelejo, Sucre",3 habitaciones,2 baños,122 m²,Apartamento,5,$ 299.000.000
https://www.properati.com.co/detalle/14032-32-e66d-8ed872e4b99c-e09b24e2-b13d-4836,"Sincelejo, Sucre",3 habitaciones,3 baños,170 m²,Apartamento,N/A,$ 843.000.000
https://www.properati.com.co/detalle/14032-32-d267-a13b2099e5a5-3edd7b0a-b0ba-4117,"Sincelejo, Sucre",3 habitaciones,4 baños,206 m²,Apartamento,N/A,$ 1.009.400.000
https://www.properati.com.co/detalle/14032-32-8e33-5d7bc6d44bc9-18f4d46-bb2e-759a,"Sincelejo, Sucre",1 habitación,1 baño,50 m²,Apartamento,2,$ 130.000.000
https://www.properati.com.co/detalle/14032-32-960e-f841131c8c4d-28d297c8-aa6d-45ab,"Sincelejo, Sucre",1 habitación,1 baño,69 m²,Apartamento,5,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-b001-9f64a58861ab-79ab83d5-9e06-426a,"Sincelejo, Sucre",4 habitaciones,3 baños,103 m²,Apartamento,4,$ 309.000.000
https://www.properati.com.co/detalle/14032-32-10d-a9cb3380bbdd-46efa832-b368-4d08,"Sincelejo, Sucre",3 habitaciones,1 baño,200 m²,Apartamento,N/A,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-8f95-60e10f8eef02-1921784-8623-7afa,"Sincelejo, Sucre",1 habitación,1 baño,52 m²,Apartamento,3,$ 115.000.000
https://www.properati.com.co/detalle/14032-32-bf0d-eca19cdb636c-65a35ebb-a070-4f8e,"Sincelejo, Sucre",3 habitaciones,2 baños,91 m²,Apartamento,3,$ 242.000.000
https://www.properati.com.co/detalle/14032-32-2e3-a38432ddb6eb-14603a41-976a-41a2,"Sincelejo, Sucre",N/A,N/A,N/A,Apartamento,N/A,$ 1.600.000
https://www.properati.com.co/detalle/14032-32-de4a-3712a3564c34-4d69ba22-848e-4cee,"Sincelejo, Sucre",3 habitaciones,3 baños,94 m²,Apartamento,4,$ 240.000.000
https://www.properati.com.co/detalle/14032-32-b962-737322deeb73-462c4ea-93be-3ef6,"Sincelejo, Sucre",4 habitaciones,3 baños,100 m²,Apartamento,5,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-d9b4-ef63ad2d102-192080c-9085-7d4f,"Sincelejo, Sucre",3 habitaciones,2 baños,75 m²,Apartamento,4,$ 318.864.000
https://www.properati.com.co/detalle/14032-32-d4c0-b60293561049-192080c-a4f6-7f57,"Sincelejo, Sucre",2 habitaciones,2 baños,60 m²,Apartamento,4,$ 254.100.000
https://www.properati.com.co/detalle/14032-32-a608-b910ad9d089a-18f4c35-b18e-71c5,"Sincelejo, Sucre",3 habitaciones,1 baño,52 m²,Apartamento,N/A,$ 150.000.000
https://www.properati.com.co/detalle/14032-32-4294-3321484b41e5-51b7ba42-9f2c-454b,"Sincelejo, Sucre",4 habitaciones,3 baños,123 m²,Apartamento,4,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-98b0-d47917665fa5-191ee68-b5f4-7bf0,"Sincelejo, Sucre",2 habitaciones,1 baño,50 m²,Apartamento,3,$ 150.000.000
https://www.properati.com.co/detalle/14032-32-4a4f-13c36e6c8566-1914aef-9c15-719f,"Sincelejo, Sucre",3 habitaciones,2 baños,65 m²,Apartamento,3,$ 221.000.000
https://www.properati.com.co/detalle/14032-32-7a73-8ab7c008cc9f-1912a97-92ab-7389,"Sincelejo, Sucre",3 habitaciones,2 baños,53 m²,Apartamento,N/A,$ 139.000.000
https://www.properati.com.co/detalle/14032-32-66bf-65163e7f73b6-847d3ba7-8769-468f,"Sincelejo, Sucre",N/A,N/A,N/A,Apartamento,N/A,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-3d7d-6a5528aec395-a873fd3b-9499-449e,"Sincelejo, Sucre",N/A,N/A,N/A,Apartamento,3,$ 240.000.000
https://www.properati.com.co/detalle/14032-32-fb96-310c204d928e-1918c71-a1c3-784f,"Sincelejo, Sucre",4 habitaciones,4 baños,224 m²,Apartamento,4,$ 620.000.000
https://www.properati.com.co/detalle/14032-32-ddb0-bf4bea84a901-191f8a2-b290-744d,"Sincelejo, Sucre",4 habitaciones,3 baños,103 m²,Apartamento,4,$ 381.100.000
https://www.properati.com.co/detalle/14032-32-2266-a5929168df82-1901ed7-aa13-71a1,"Sincelejo, Sucre",3 habitaciones,2 baños,53 m²,Apartamento,N/A,$ 150.000.000
https://www.properati.com.co/detalle/14032-32-cd23-d2542181e822-191499f-85ac-7c30,"Sincelejo, Sucre",4 habitaciones,3 baños,103 m²,Apartamento,4,$ 382.000.000
https://www.properati.com.co/detalle/14032-32-a687-a36dafa19a90-1923146-85b7-74a0,"Sincelejo, Sucre",3 habitaciones,2 baños,93 m²,Apartamento,N/A,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-2a95-b088bf96cbd6-19149f4-98eb-7ea2,"Sincelejo, Sucre",2 habitaciones,2 baños,85 m²,Apartamento,4,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-37b9-dd0e2d3d48b5-1901ed6-9ec4-7567,"Sincelejo, Sucre",3 habitaciones,2 baños,71 m²,Apartamento,N/A,$ 200.000.000
https://www.properati.com.co/detalle/14032-32-3aea-7a485aceb631-ad21eaab-b503-4842,"Sincelejo, Sucre",2 habitaciones,1 baño,66 m²,Apartamento,1,$ 105.000.000
https://www.properati.com.co/detalle/14032-32-7645-a7f6f86e7f30-191f387-b4e2-79be,"Sincelejo, Sucre",3 habitaciones,4 baños,165 m²,Apartamento,N/A,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-6a06-4e75b4ec5a42-18f4d42-921c-7654,"Sincelejo, Sucre",3 habitaciones,4 baños,170 m²,Apartamento,N/A,$ 270.000.000
https://www.properati.com.co/detalle/14032-32-2fdf-c8c2182c6521-1914ac1-8e01-7130,"Sincelejo, Sucre",3 habitaciones,2 baños,80 m²,Apartamento,3,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-2b28-4c71562fe586-18f4d51-8177-7510,"Sincelejo, Sucre",4 habitaciones,2 baños,160 m²,Apartamento,3,$ 198.000.000
https://www.properati.com.co/detalle/14032-32-14f6-b66d3e94461d-1920810-9617-7474,"Sincelejo, Sucre",3 habitaciones,3 baños,104 m²,Apartamento,4,$ 240.000.000
https://www.properati.com.co/detalle/14032-32-43ab-ee6ee64fe66c-1921ca8-98b4-72bc,"Sincelejo, Sucre",3 habitaciones,2 baños,97 m²,Apartamento,3,$ 280.000.000
https://www.properati.com.co/detalle/14032-32-8f4-ea321985710c-1914b72-8bad-7a69,"Sincelejo, Sucre",2 habitaciones,2 baños,73 m²,Apartamento,4,$ 223.395.849
https://www.properati.com.co/detalle/14032-32-d61f-e3d54ca3ac70-1921ca9-934a-7451,"Sincelejo, Sucre",4 habitaciones,5 baños,200 m²,Apartamento,2,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-23f7-3920164738c6-191ca77-83d4-74d3,"Sincelejo, Sucre",3 habitaciones,2 baños,88 m²,Apartamento,3,$ 261.000.000
https://www.properati.com.co/detalle/14032-32-bbcc-10fd45447686-41561fd2-89e3-4087,"Sincelejo, Sucre",3 habitaciones,1 baño,82 m²,Apartamento,3,$ 162.000.000
https://www.properati.com.co/detalle/14032-32-e229-408b92b0f827-19240b2-beb4-7f09,"Sincelejo, Sucre",2 habitaciones,2 baños,92 m²,Apartamento,2,$ 160.000.000
