URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-b7e9-1bde3db77e39-191b2af-8aeb-7f0b,"Sincelejo, Sucre",4 habitaciones,3 baños,78 m²,Casa,1,$ 180.000.000
https://www.properati.com.co/detalle/14032-32-f45a-e6deda6a4f43-36e5bd61-a4b3-5010,"Sincelejo, Sucre",N/A,N/A,N/A,Casa,N/A,$ 180.000.000
https://www.properati.com.co/detalle/14032-32-98cb-3d141c3aa333-191898c-a2b1-76b9,"Sincelejo, Sucre",5 habitaciones,6 baños,553 m²,Casa,N/A,$ 3.201.000.000
https://www.properati.com.co/detalle/14032-32-d3cd-fb478de68af9-191499d-9e38-7190,"Sincelejo, Sucre",N/A,N/A,N/A,Casa,N/A,$ 1.350.000.000
https://www.properati.com.co/detalle/14032-32-fc83-d4fc58f47027-191c56b-b99b-72a6,"Sincelejo, Sucre",5 habitaciones,5 baños,242 m²,Casa,4,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-bb58-1885a3f2ab1-1915e2b-9a05-7efb,"Sincelejo, Sucre",3 habitaciones,4 baños,193 m²,Casa,3,$ 470.000.000
https://www.properati.com.co/detalle/14032-32-c831-2a464b65ae07-841ea2f9-836d-4efc,"Sincelejo, Sucre",10 habitaciones,9 baños,303 m²,Casa,N/A,$ 308.250.000
https://www.properati.com.co/detalle/14032-32-1ae1-6baa746a5838-19149f5-adfd-7132,"Sincelejo, Sucre",4 habitaciones,3 baños,144 m²,Casa,4,$ 420.000.000
https://www.properati.com.co/detalle/14032-32-2e88-3b99ae44c19e-19149f4-a22e-7ae2,"Sincelejo, Sucre",5 habitaciones,4 baños,319 m²,Casa,4,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-fc4-ee03c4f2efc1-3fcb470c-88f9-4e52,"Sincelejo, Sucre",4 habitaciones,3 baños,170 m²,Casa,4,$ 520.000.000
https://www.properati.com.co/detalle/14032-32-9131-1beab371b87b-ca76da3c-b88a-4db2,"Sincelejo, Sucre",5 habitaciones,5 baños,258 m²,Casa,3,$ 700.000.000
https://www.properati.com.co/detalle/14032-32-3995-f41f6758273-1901ed7-9041-7227,"Sincelejo, Sucre",4 habitaciones,3 baños,160 m²,Casa,N/A,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-d871-cf02ef30c2a5-190f71c-9ec7-7588,"Sincelejo, Sucre",4 habitaciones,5 baños,820 m²,Casa,N/A,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-b047-e8dad5ff35b8-1901ed5-bc57-7ec4,"Sincelejo, Sucre",3 habitaciones,2 baños,78 m²,Casa,2,$ 250.000.000.000
https://www.properati.com.co/detalle/14032-32-a373-5aad74be72e3-1914a38-bc7d-76fc,"Sincelejo, Sucre",5 habitaciones,5 baños,250 m²,Casa,3,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-7e3e-7884536b0661-19202fc-a1e0-71b9,"Sincelejo, Sucre",4 habitaciones,2 baños,350 m²,Casa,2,$ 690.000.000
https://www.properati.com.co/detalle/14032-32-35b2-533ac5512ab7-19158f3-97cc-7978,"Sincelejo, Sucre",N/A,N/A,N/A,Casa,4,$ 490.000.000
https://www.properati.com.co/detalle/14032-32-8531-d4606e53bb99-61c2cf1-b8eb-3ace,"Sincelejo, Sucre",6 habitaciones,5 baños,303 m²,Casa,4,$ 670.000.000
https://www.properati.com.co/detalle/14032-32-166a-d8eda09cbfb7-6b25676e-a035-4366,"Sincelejo, Sucre",4 habitaciones,5 baños,160 m²,Casa,4,$ 430.000.000
https://www.properati.com.co/detalle/14032-32-895e-84c37b0cac7b-18f4d46-b899-7094,"Sincelejo, Sucre",3 habitaciones,2 baños,180 m²,Casa,4,$ 540.000.000
https://www.properati.com.co/detalle/14032-32-d29b-76e56a8ed045-191ded8-bd9f-7b05,"Sincelejo, Sucre",5 habitaciones,4 baños,260 m²,Casa,3,$ 460.000.000
https://www.properati.com.co/detalle/14032-32-b3bc-7c73081b9c19-1286228b-beca-4897,"Sincelejo, Sucre",N/A,N/A,N/A,Casa,N/A,$ 700.000.000
https://www.properati.com.co/detalle/14032-32-f22c-bf4561c50c61-2bb8e950-8b58-49c5,"Sincelejo, Sucre",N/A,N/A,N/A,Casa,5,$ 500.000.000
https://www.properati.com.co/detalle/14032-32-39c9-d161af6260b7-18f4d42-bd3a-7877,"Sincelejo, Sucre",5 habitaciones,4 baños,200 m²,Casa,N/A,$ 805.000.000
https://www.properati.com.co/detalle/14032-32-56e7-872f095625a3-191e43c-ab66-74a1,"Sincelejo, Sucre",4 habitaciones,3 baños,136 m²,Casa,N/A,$ 335.000.000
https://www.properati.com.co/detalle/14032-32-5ca3-9130e64bad98-4f724687-8154-4991,"Sincelejo, Sucre",5 habitaciones,4 baños,350 m²,Casa,4,$ 750.000.000
https://www.properati.com.co/detalle/14032-32-41bf-182cd4c9b3e8-1901ed4-9399-78de,"Sincelejo, Sucre",N/A,N/A,N/A,Casa,N/A,$ 980.000.000
https://www.properati.com.co/detalle/14032-32-62e9-8abfbe4b8747-71a2ed1d-a868-488c,"Sincelejo, Sucre",4 habitaciones,3 baños,254 m²,Casa,N/A,$ 430.000.000
https://www.properati.com.co/detalle/14032-32-821c-a1fa4d660837-e084f82-a396-4e7b,"Sincelejo, Sucre",3 habitaciones,1 baño,83 m²,Casa,4,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-d60a-41815f8d5e05-1916d8a-ba7d-7188,"Sincelejo, Sucre",4 habitaciones,3 baños,141 m²,Casa,2,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-646f-796a868bd90c-1901ed6-a09a-72d3,"Sincelejo, Sucre",4 habitaciones,3 baños,225 m²,Casa,3,$ 320.000.000
