URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-f77b-b19109b0bc03-1d6b1f2e-a619-4baa,"Tunja, Boyacá",N/A,N/A,N/A,Apartamento,3,$ 110.000.000
https://www.properati.com.co/detalle/14032-32-fab3-63911e34b002-18f4cf1-90b6-72d7,"Tunja, Boyacá",3 habitaciones,2 baños,107 m²,Apartamento,4,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-ea65-1661e30e9c20-18f4cf5-87f5-7bb8,"Tunja, Boyacá",3 habitaciones,2 baños,62 m²,Apartamento,3,$ 262.900.000
https://www.properati.com.co/detalle/14032-32-b682-a982c7d048ee-18f4d29-986c-79d6,"Tunja, Boyacá",3 habitaciones,2 baños,62 m²,Apartamento,3,$ 202.900.000
https://www.properati.com.co/detalle/14032-32-719d-7d1f159b5f8c-18f4d27-8741-7181,"Tunja, Boyacá",3 habitaciones,2 baños,62 m²,Apartamento,3,$ 201.900.000
https://www.properati.com.co/detalle/14032-32-ae49-e49e63016c9a-190c3ad-93aa-70bc,"Tunja, Boyacá",3 habitaciones,2 baños,200 m²,Apartamento,3,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-ac4e-6189ec3876d4-1919114-ba99-78a1,"Tunja, Boyacá",N/A,N/A,N/A,Apartamento,N/A,$ 240.000.000
https://www.properati.com.co/detalle/14032-32-9114-bd2087929975-190c3ad-833c-7b8a,"Tunja, Boyacá",3 habitaciones,2 baños,86 m²,Apartamento,3,$ 260.000.000
https://www.properati.com.co/detalle/14032-32-6dc1-2f0c40edd06b-190c3ad-b4eb-7502,"Tunja, Boyacá",3 habitaciones,2 baños,120 m²,Apartamento,3,$ 360.000.000
https://www.properati.com.co/detalle/14032-32-1bc6-4d45fbe91f13-966e88ac-b6d8-3e6f,"Tunja, Boyacá",3 habitaciones,3 baños,82 m²,Apartamento,N/A,$ 360.000.000
https://www.properati.com.co/detalle/14032-32-c311-2edffded3393-76a33e6e-afb5-39a9,"Tunja, Boyacá",3 habitaciones,2 baños,117 m²,Apartamento,N/A,$ 420.000.000
https://www.properati.com.co/detalle/14032-32-86c2-3cba518bfde9-190c3ad-a389-7f12,"Tunja, Boyacá",3 habitaciones,2 baños,86 m²,Apartamento,3,$ 255.000.000
https://www.properati.com.co/detalle/14032-32-fe5b-69ec41f42c51-1921498-a0e0-735a,"Tunja, Boyacá",3 habitaciones,2 baños,105 m²,Apartamento,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-f7e6-33bec671211c-1921498-848c-7238,"Tunja, Boyacá",3 habitaciones,2 baños,83 m²,Apartamento,N/A,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-9b52-298eac4aec75-1906402-8423-7427,"Tunja, Boyacá",3 habitaciones,2 baños,54 m²,Apartamento,N/A,$ 298.000.000
https://www.properati.com.co/detalle/14032-32-9e1b-40dcc9ab7460-18f5311-837c-7546,"Tunja, Boyacá",2 habitaciones,2 baños,58 m²,Apartamento,N/A,$ 219.900.000
https://www.properati.com.co/detalle/14032-32-4599-e4c70a3e11b-18f8691-adc3-762d,"Tunja, Boyacá",2 habitaciones,2 baños,60 m²,Apartamento,N/A,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-6db4-5a40db6e0735-3bc312-8a1f-339c,"Tunja, Boyacá",3 habitaciones,2 baños,82 m²,Apartamento,N/A,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-8e67-a55a7764215a-f6a6af66-bc18-3bcb,"Tunja, Boyacá",2 habitaciones,1 baño,48 m²,Apartamento,N/A,$ 195.000.000
https://www.properati.com.co/detalle/14032-32-6f47-46583ac90042-3462a9ec-a525-3292,"Tunja, Boyacá",2 habitaciones,2 baños,78 m²,Apartamento,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-2a5b-6949e33a940f-177edc5-8b4d-38da,"Tunja, Boyacá",3 habitaciones,2 baños,55 m²,Apartamento,N/A,$ 233.943.500
https://www.properati.com.co/detalle/14032-32-d017-94d138003df4-1903acf-9cc2-7866,"Tunja, Boyacá",3 habitaciones,2 baños,86 m²,Apartamento,N/A,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-48af-53003b3a3551-190ac1c-815f-7e74,"Tunja, Boyacá",3 habitaciones,2 baños,96 m²,Apartamento,N/A,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-2b9e-4b4fd7894d8d-f27aff8d-89ef-3491,"Tunja, Boyacá",3 habitaciones,2 baños,99 m²,Apartamento,N/A,$ 435.000.000
https://www.properati.com.co/detalle/14032-32-b462-e0072330b461-8031e56c-83e4-3f1b,"Tunja, Boyacá",4 habitaciones,4 baños,152 m²,Apartamento,N/A,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-28ce-a7385afb9ecc-244077db-b1af-334f,"Tunja, Boyacá",4 habitaciones,5 baños,400 m²,Apartamento,N/A,$ 2.000.000.000
https://www.properati.com.co/detalle/14032-32-1be3-96cd1ae7962e-92b5852-af99-32b2,"Tunja, Boyacá",3 habitaciones,2 baños,89 m²,Apartamento,N/A,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-b458-7a80e9b43fa7-190e4c1-b1bb-72fb,"Tunja, Boyacá",3 habitaciones,2 baños,73 m²,Apartamento,N/A,$ 278.000.000
https://www.properati.com.co/detalle/14032-32-3c1f-52204770864b-905fc162-a54b-3262,"Tunja, Boyacá",2 habitaciones,2 baños,68 m²,Apartamento,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-da84-7e873f5ae381-19174f3-b403-7d4d,"Tunja, Boyacá",2 habitaciones,1 baño,48 m²,Apartamento,N/A,$ 168.000.000
https://www.properati.com.co/detalle/14032-32-e3a1-3cfb5c09fe91-62739508-886f-31ee,"Tunja, Boyacá",3 habitaciones,2 baños,64 m²,Apartamento,N/A,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-daef-560d2b97fd06-190210f-9b81-7396,"Tunja, Boyacá",3 habitaciones,2 baños,83 m²,Apartamento,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-5f00-2c6f876b4724-7baeb8c9-93d6-37e5,"Tunja, Boyacá",3 habitaciones,2 baños,56 m²,Apartamento,N/A,$ 190.000.000
https://www.properati.com.co/detalle/14032-32-f193-6b986a7a5702-19193d9-a952-7a1d,"Tunja, Boyacá",3 habitaciones,2 baños,107 m²,Apartamento,N/A,$ 507.000.000
https://www.properati.com.co/detalle/14032-32-e2ac-3c06d351e4d4-19174f3-9b00-7d86,"Tunja, Boyacá",3 habitaciones,2 baños,60 m²,Apartamento,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-4d75-ffa90ac6cc2b-18f1545-99be-7af4,"Tunja, Boyacá",4 habitaciones,4 baños,123 m²,Apartamento,N/A,$ 519.000.000
https://www.properati.com.co/detalle/14032-32-200-a1723946ada7-190b142-b080-7c75,"Tunja, Boyacá",3 habitaciones,2 baños,55 m²,Apartamento,N/A,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-2cbd-8bf2d02bae4b-f6c77cc4-ade6-4b27,"Tunja, Boyacá",4 habitaciones,4 baños,137 m²,Apartamento,5,$ 531.000.000
https://www.properati.com.co/detalle/14032-32-735c-dba0dcbee184-133afb37-ad99-3c8d,"Tunja, Boyacá",1 habitación,1 baño,46 m²,Apartamento,N/A,$ 180.000.000
https://www.properati.com.co/detalle/14032-32-e9d7-77b6be7bcc7a-190cb01-9fa1-7d99,"Tunja, Boyacá",3 habitaciones,2 baños,64 m²,Apartamento,N/A,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-76da-b43d08fd72cb-93b4a9b7-b6f6-3270,"Tunja, Boyacá",3 habitaciones,3 baños,100 m²,Apartamento,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-f544-49f4d1ff1211-18fbf36-ab76-7e69,"Tunja, Boyacá",3 habitaciones,2 baños,50 m²,Apartamento,N/A,$ 229.900.000
