URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-6b05-5506174489bc-7f780c34-923f-3a25,"Tunja, Boyacá",6 habitaciones,6 baños,200 m²,Casa,N/A,$ 340.000.000
https://www.properati.com.co/detalle/14032-32-a633-26c3f2a2b0fa-7f33e3f9-9b88-3053,"Tunja, Boyacá",5 habitaciones,5 baños,221 m²,Casa,N/A,$ 430.000.000
https://www.properati.com.co/detalle/14032-32-6334-565561f7e499-76519a77-82e5-3473,"Tunja, Boyacá",6 habitaciones,3 baños,160 m²,Casa,N/A,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-ad15-870e0e7175e7-40824859-8f7a-4c69,"Tunja, Boyacá",3 habitaciones,3 baños,122 m²,Casa,4,$ 280.000.000
https://www.properati.com.co/detalle/14032-32-be1d-bb81d6370329-3436936c-9d95-406c,"Tunja, Boyacá",N/A,N/A,N/A,Casa,3,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-8f06-303fc8e52d2e-f9eb411a-8369-4d53,"Tunja, Boyacá",3 habitaciones,2 baños,258 m²,Casa,N/A,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-4653-2512b9e91682-829906a2-bda2-3034,"Tunja, Boyacá",4 habitaciones,4 baños,129 m²,Casa,N/A,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-806c-334f949c2f85-26dc8bba-9af0-5017,"Tunja, Boyacá",N/A,N/A,N/A,Casa,3,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-d16c-ce6c7e75fc77-cb949ba5-94bc-4e65,"Tunja, Boyacá",N/A,N/A,N/A,Casa,2,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-c4df-592802da46b-190b431-95e1-780b,"Tunja, Boyacá",2 habitaciones,2 baños,76 m²,Casa,4,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-83ec-ea16f53d9714-18f4cc7-9ad1-775b,"Tunja, Boyacá",4 habitaciones,3 baños,118 m²,Casa,3,$ 320.000.000
https://www.properati.com.co/detalle/14032-32-bc3d-7beb770f39a8-191e93b-be36-7e3a,"Tunja, Boyacá",3 habitaciones,3 baños,88 m²,Casa,4,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-1d01-4a44474d0e6c-c97ce5d1-af81-3598,"Tunja, Boyacá",3 habitaciones,4 baños,350 m²,Casa,N/A,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-48f5-10301fa368ab-18f1023-aaec-7a4a,"Tunja, Boyacá",5 habitaciones,5 baños,400 m²,Casa,N/A,$ 470.000.000
https://www.properati.com.co/detalle/14032-32-919b-267e82dbae03-9de717e2-b6e1-3769,"Tunja, Boyacá",3 habitaciones,4 baños,419 m²,Casa,N/A,$ 3.200.000.000
https://www.properati.com.co/detalle/14032-32-10c7-5eeba4a921bf-b309a7fa-978f-3ba3,"Tunja, Boyacá",5 habitaciones,3 baños,150 m²,Casa,N/A,$ 275.000.000
https://www.properati.com.co/detalle/14032-32-8b2b-71676a04b205-f1064a73-9b95-35db,"Tunja, Boyacá",6 habitaciones,4 baños,152 m²,Casa,N/A,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-ceb4-b473ce843f26-7ff5d10c-9a23-396e,"Tunja, Boyacá",3 habitaciones,3 baños,160 m²,Casa,N/A,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-2357-163e3085e7a3-f77b586-a568-3ebb,"Tunja, Boyacá",4 habitaciones,5 baños,250 m²,Casa,N/A,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-cf72-94fff2b6e8-19174f3-a395-7c75,"Tunja, Boyacá",8 habitaciones,3 baños,180 m²,Casa,N/A,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-14ef-d1eb086bca23-18f0edf-9da7-7c44,"Tunja, Boyacá",5 habitaciones,3 baños,172 m²,Casa,N/A,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-e5e3-5dc1a5a3ce36-62012a56-b9b8-3638,"Tunja, Boyacá",10 habitaciones,5 baños,318 m²,Casa,N/A,$ 890.000.000
https://www.properati.com.co/detalle/14032-32-db39-2e73a8ba7044-3ea42196-910e-3491,"Tunja, Boyacá",9 habitaciones,5 baños,230 m²,Casa,N/A,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-a394-27f35be5df5e-29078677-9df7-34dd,"Tunja, Boyacá",5 habitaciones,3 baños,127 m²,Casa,N/A,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-2871-13b73c5d09bb-92e0c5ca-b70e-324a,"Tunja, Boyacá",3 habitaciones,3 baños,131 m²,Casa,N/A,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-855c-a67723581f4d-ddcab6ff-8040-398c,"Tunja, Boyacá",5 habitaciones,4 baños,313 m²,Casa,N/A,$ 780.000.000
https://www.properati.com.co/detalle/14032-32-9634-cc6f7f7f4bfc-48cb2f51-b57c-330f,"Tunja, Boyacá",4 habitaciones,4 baños,166 m²,Casa,N/A,$ 1.800.000.000
https://www.properati.com.co/detalle/14032-32-18d1-3eca533462b6-d06c6330-bb16-3f4d,"Tunja, Boyacá",3 habitaciones,4 baños,150 m²,Casa,N/A,$ 400.000.000
https://www.properati.com.co/detalle/14032-32-857a-6a669557960d-1909ca8-9e6a-7771,"Tunja, Boyacá",12 habitaciones,5 baños,280 m²,Casa,N/A,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-2d81-49d6af565d01-bfc48f45-a457-3c17,"Tunja, Boyacá",3 habitaciones,3 baños,250 m²,Casa,N/A,$ 1.200.000.000
https://www.properati.com.co/detalle/14032-32-a294-972c6d4d339b-53530d58-ad8e-33aa,"Tunja, Boyacá",3 habitaciones,3 baños,167 m²,Casa,N/A,$ 230.000.000
https://www.properati.com.co/detalle/14032-32-ec67-fef3b8826b04-19174f3-9501-76e0,"Tunja, Boyacá",N/A,N/A,N/A,Casa,N/A,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-9e38-6cd838e39721-7617b662-a907-3fe9,"Tunja, Boyacá",N/A,N/A,N/A,Casa,N/A,$ 650.000.000
https://www.properati.com.co/detalle/14032-32-a5f7-a92cf8a6242b-18f9b2a-9674-71c8,"Tunja, Boyacá",2 habitaciones,2 baños,63 m²,Casa,N/A,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-56c5-a83f1c72db46-1907dc2-a3e7-7c16,"Tunja, Boyacá",5 habitaciones,4 baños,150 m²,Casa,N/A,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-b6e5-c93436a54b28-18fc45d-8867-7323,"Tunja, Boyacá",9 habitaciones,3 baños,320 m²,Casa,N/A,$ 410.000.000
https://www.properati.com.co/detalle/14032-32-a376-446d32bb85fa-ee305ed9-803d-344a,"Tunja, Boyacá",3 habitaciones,4 baños,250 m²,Casa,N/A,$ 1.100.000.000
https://www.properati.com.co/detalle/14032-32-82b7-2ab8325fecdb-b38eefdc-a974-359d,"Tunja, Boyacá",6 habitaciones,4 baños,175 m²,Casa,N/A,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-8cc4-6604cec59d4e-76fcd0fc-8cec-30cf,"Tunja, Boyacá",5 habitaciones,4 baños,214 m²,Casa,N/A,$ 590.000.000
https://www.properati.com.co/detalle/14032-32-e99f-fdea29c9f212-1914bc0-b6a7-7169,"Tunja, Boyacá",6 habitaciones,4 baños,273 m²,Casa,N/A,$ 450.000.000
https://www.properati.com.co/detalle/14032-32-43eb-d4014bfa718f-18f439e-9dd3-7918,"Tunja, Boyacá",2 habitaciones,2 baños,146 m²,Casa,N/A,$ 299.990.000
https://www.properati.com.co/detalle/14032-32-3a54-55b7153241fa-137fbaec-9416-3205,"Tunja, Boyacá",N/A,N/A,N/A,Casa,N/A,$ 329.000.000
https://www.properati.com.co/detalle/14032-32-2305-d52e85c3d02-9af1c5c3-8524-325a,"Tunja, Boyacá",6 habitaciones,5 baños,184 m²,Casa,N/A,$ 800.000.000
https://www.properati.com.co/detalle/14032-32-b374-6718227f7d2f-1903acf-8e2a-77cf,"Tunja, Boyacá",10 habitaciones,5 baños,350 m²,Casa,N/A,$ 630.000.000
https://www.properati.com.co/detalle/14032-32-664c-d058478df772-bddcfe75-a470-36a1,"Tunja, Boyacá",5 habitaciones,5 baños,380 m²,Casa,N/A,$ 1.300.000.000
https://www.properati.com.co/detalle/14032-32-3ebd-88edd809fcc9-50b9a6e5-85ab-30c4,"Tunja, Boyacá",6 habitaciones,6 baños,438 m²,Casa,N/A,$ 2.200.000.000
https://www.properati.com.co/detalle/14032-32-3a75-e4d6c7b41471-18f439e-8085-7d0e,"Tunja, Boyacá",3 habitaciones,4 baños,256 m²,Casa,N/A,$ 1.250.000.000
https://www.properati.com.co/detalle/14032-32-510-65289a4851ff-680d780e-aec2-4315,"Tunja, Boyacá",6 habitaciones,6 baños,911 m²,Casa,3,$ 1.977.983.412
https://www.properati.com.co/detalle/14032-32-cefe-aceb42c9b943-190c0b4-a558-7e62,"Tunja, Boyacá",4 habitaciones,4 baños,896 m²,Casa,N/A,$ 2.500.000.000
https://www.properati.com.co/detalle/14032-32-fb2b-3ea0ee4c1358-669c82e4-835a-4c70,"Tunja, Boyacá",4 habitaciones,4 baños,220 m²,Casa,5,$ 680.000.000
https://www.properati.com.co/detalle/14032-32-4e9b-2c29dd879517-e0f498f0-ad6f-49b7,"Tunja, Boyacá",2 habitaciones,2 baños,354 m²,Casa,3,$ 530.427.129
https://www.properati.com.co/detalle/14032-32-d182-5c6129e3b8fa-dc0f1612-a2dd-4b33,"Tunja, Boyacá",3 habitaciones,2 baños,354 m²,Casa,3,$ 530.427.129
https://www.properati.com.co/detalle/14032-32-a0b8-8184b291dbfa-190cb3c-95bb-7bd1,"Tunja, Boyacá",4 habitaciones,2 baños,18 m²,Casa,3,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-e437-42c4a13e96f8-bdefee4c-a196-3390,"Tunja, Boyacá",4 habitaciones,4 baños,209 m²,Casa,N/A,$ 580.000.000
https://www.properati.com.co/detalle/14032-32-d924-81a0898369ac-f42b0186-a629-3fbe,"Tunja, Boyacá",4 habitaciones,4 baños,240 m²,Casa,N/A,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-793b-81735a51371-190cced-a435-7468,"Tunja, Boyacá",6 habitaciones,6 baños,911 m²,Casa,3,$ 1.977.983.412
https://www.properati.com.co/detalle/14032-32-b4d9-eedf6fc885-2da1ee30-8ba1-314b,"Tunja, Boyacá",4 habitaciones,3 baños,143 m²,Casa,N/A,$ 480.000.000
https://www.properati.com.co/detalle/14032-32-40dd-105b4c36528c-e833527c-9cae-4245,"Tunja, Boyacá",5 habitaciones,6 baños,5.380 m²,Casa,N/A,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-7a66-7b30ffe10936-54774db8-bca7-406a,"Tunja, Boyacá",5 habitaciones,6 baños,5.380 m²,Casa,N/A,$ 850.000.000
https://www.properati.com.co/detalle/14032-32-f2c5-ef49d6d0b4ea-a4fe01f7-b46f-4eca,"Tunja, Boyacá",5 habitaciones,3 baños,101 m²,Casa,N/A,$ 600.000.000
https://www.properati.com.co/detalle/14032-32-5440-6892b94a235c-f0ef21a9-ba8f-4ca8,"Tunja, Boyacá",4 habitaciones,4 baños,210 m²,Casa,4,$ 490.000.000
https://www.properati.com.co/detalle/14032-32-c859-addbc6215cb9-191c2af-9f3d-7466,"Tunja, Boyacá",7 habitaciones,7 baños,200 m²,Casa,3,$ 699.000.000
https://www.properati.com.co/detalle/14032-32-6286-ff71def4a7f6-f876f220-aecc-46ad,"Tunja, Boyacá",6 habitaciones,6 baños,720 m²,Casa,5,$ 800.000.000
