URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-ac38-a1d38ad84926-19061e0-a28e-78d6,"Valledupar, Cesar",2 habitaciones,3 baños,82 m²,Casa,5,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-4785-d1593547d2aa-1922a3f-bf98-7f05,"Valledupar, Cesar",3 habitaciones,3 baños,118 m²,Casa,2,$ 208.000.000
https://www.properati.com.co/detalle/14032-32-329b-8c452eac58f-191c90a-9fba-7df0,"Valledupar, Cesar",3 habitaciones,2 baños,114 m²,Casa,2,$ 129.000.000
https://www.properati.com.co/detalle/14032-32-a800-f303a46cd19f-191c80c-9fb9-7df0,"Valledupar, Cesar",3 habitaciones,2 baños,209 m²,Casa,2,$ 149.000.000
https://www.properati.com.co/detalle/14032-32-1e2a-7aca183685a1-1918c7c-ae97-7e72,"Valledupar, Cesar",3 habitaciones,2 baños,70 m²,Casa,4,$ 220.000.000
https://www.properati.com.co/detalle/14032-32-67e3-5b6d7897ff3-191c155-9c35-7a0b,"Valledupar, Cesar",3 habitaciones,3 baños,80 m²,Casa,3,$ 275.000.000
https://www.properati.com.co/detalle/14032-32-eda2-51734e69c4c5-1918c7b-b436-7392,"Valledupar, Cesar",4 habitaciones,5 baños,250 m²,Casa,5,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-d8a5-b6405001e2a5-1914a5d-91bf-748c,"Valledupar, Cesar",3 habitaciones,3 baños,187 m²,Casa,4,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-7e6f-324a8784535d-4e12559c-ad28-3437,"Valledupar, Cesar",3 habitaciones,1 baño,53 m²,Casa,2,$ 138.000.000
https://www.properati.com.co/detalle/14032-32-6e09-4faf90ca8691-1924b13-b3a6-7abf,"Valledupar, Cesar",3 habitaciones,2 baños,140 m²,Casa,5,$ 330.000.000
https://www.properati.com.co/detalle/14032-32-5a2-cc3d3d507278-1920812-85fa-7c5f,"Valledupar, Cesar",7 habitaciones,5 baños,350 m²,Casa,5,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-2600-176c59a34e8f-18ef435-adbf-7c56,"Valledupar, Cesar",3 habitaciones,3 baños,176 m²,Casa,3,$ 315.000.000
https://www.properati.com.co/detalle/14032-32-9bce-c41e5655a98-191c422-a775-7dfe,"Valledupar, Cesar",3 habitaciones,2 baños,175 m²,Casa,2,$ 292.000.000
https://www.properati.com.co/detalle/14032-32-266c-c13b49352d41-1914ecc-b6c7-7d1b,"Valledupar, Cesar",7 habitaciones,7 baños,410 m²,Casa,4,$ 2.950.000.000
https://www.properati.com.co/detalle/14032-32-31-fbed83c47ee1-191c846-9fb9-7df0,"Valledupar, Cesar",4 habitaciones,4 baños,130 m²,Casa,3,$ 396.000.000
https://www.properati.com.co/detalle/14032-32-2dea-8a42598d5e03-1923b89-b070-7d28,"Valledupar, Cesar",3 habitaciones,2 baños,90 m²,Casa,2,$ 140.000.000
https://www.properati.com.co/detalle/14032-32-c2ed-a6890c6a163f-19137f3-8ba6-7575,"Valledupar, Cesar",5 habitaciones,3 baños,142 m²,Casa,2,$ 197.000.000
https://www.properati.com.co/detalle/14032-32-256e-d20712d770df-18f4c76-a9df-77a1,"Valledupar, Cesar",6 habitaciones,5 baños,498 m²,Casa,4,$ 1.900.000.000
https://www.properati.com.co/detalle/14032-32-bb6b-bebb317c6f1d-1914a2a-a872-749d,"Valledupar, Cesar",N/A,N/A,N/A,Casa,N/A,$ 700.000.000
https://www.properati.com.co/detalle/14032-32-2327-b606a8dec837-191d9ff-8cf0-7af0,"Valledupar, Cesar",4 habitaciones,4 baños,308 m²,Casa,3,$ 639.860.688
https://www.properati.com.co/detalle/14032-32-456e-ee378853940a-342d274a-a67a-4d86,"Valledupar, Cesar",4 habitaciones,3 baños,173 m²,Casa,5,$ 390.000.000
https://www.properati.com.co/detalle/14032-32-a372-721cba20bcf6-18f0d07-84d2-7c42,"Valledupar, Cesar",7 habitaciones,8 baños,2.800 m²,Casa,2,$ 5.500.000.000
https://www.properati.com.co/detalle/14032-32-1449-ba913f940824-38268574-be5a-3689,"Valledupar, Cesar",6 habitaciones,6 baños,192 m²,Casa,4,$ 550.000.000
https://www.properati.com.co/detalle/14032-32-2f69-22129253ce9c-18f0d08-aa3c-7dd9,"Valledupar, Cesar",5 habitaciones,3 baños,142 m²,Casa,2,$ 197.000.000
https://www.properati.com.co/detalle/14032-32-adc5-ad51bd848971-28592f13-aa14-3851,"Valledupar, Cesar",4 habitaciones,3 baños,94 m²,Casa,3,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-ef6d-b65e07db77bd-192260d-b474-7261,"Valledupar, Cesar",3 habitaciones,2 baños,158 m²,Casa,2,$ 208.000.000
https://www.properati.com.co/detalle/14032-32-7958-c40e4fcc6089-191f28e-ad11-7b4b,"Valledupar, Cesar",3 habitaciones,4 baños,130 m²,Casa,4,$ 396.000.000
https://www.properati.com.co/detalle/14032-32-7ca-f51881c548c6-18ff4b9-8767-7597,"Valledupar, Cesar",3 habitaciones,2 baños,123 m²,Casa,2,$ 292.000.000
https://www.properati.com.co/detalle/14032-32-3370-c18fcc54e83f-9757a8e0-bf16-1021,"Valledupar, Cesar",5 habitaciones,5 baños,250 m²,Casa,2,$ 250.000.000
https://www.properati.com.co/detalle/14032-32-4d7e-95a27fda9bd-18f657e-abae-7c20,"Valledupar, Cesar",3 habitaciones,5 baños,320 m²,Casa,3,$ 780.000.000
https://www.properati.com.co/detalle/14032-32-a045-9bbe5e01d7b4-30074650-a433-30c3,"Valledupar, Cesar",4 habitaciones,2 baños,247 m²,Casa,N/A,$ 800.000.000
https://www.properati.com.co/detalle/14032-32-b8e0-992b9b1cae07-3bc6f0bb-99d3-4cbd,"Valledupar, Cesar",4 habitaciones,4 baños,300 m²,Casa,3,$ 639.860.688
https://www.properati.com.co/detalle/14032-32-b8a3-5a7fc6b4e974-c64fe508-8baf-4d48,"Valledupar, Cesar",3 habitaciones,4 baños,284 m²,Casa,3,$ 367.061.465
https://www.properati.com.co/detalle/14032-32-a026-9a45929f617a-19038ac-9ba4-703f,"Valledupar, Cesar",N/A,N/A,N/A,Casa,4,$ 310.000.000
https://www.properati.com.co/detalle/14032-32-dea7-c70741743b6-1909a83-ae09-74f8,"Valledupar, Cesar",N/A,N/A,N/A,Casa,4,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-cbb1-70dcdf08b696-190a4cf-9d4c-7c0a,"Valledupar, Cesar",N/A,N/A,N/A,Casa,3,$ 246.000.000
https://www.properati.com.co/detalle/14032-32-5858-b8486df52304-d9d4a706-a460-49f4,"Valledupar, Cesar",4 habitaciones,4 baños,450 m²,Casa,5,$ 825.000.000
https://www.properati.com.co/detalle/14032-32-149c-d404ee6bf24c-4eb2305d-ada6-4910,"Valledupar, Cesar",4 habitaciones,4 baños,180 m²,Casa,3,$ 412.000.000
https://www.properati.com.co/detalle/14032-32-d923-75c17e505662-4be60eeb-87d4-4d64,"Valledupar, Cesar",3 habitaciones,2 baños,86 m²,Casa,N/A,$ 170.000.000
https://www.properati.com.co/detalle/14032-32-c0ad-1ccf3ce752f0-191fdf8-9288-7b13,"Valledupar, Cesar",4 habitaciones,5 baños,220 m²,Casa,5,$ 630.000.000
https://www.properati.com.co/detalle/14032-32-945f-df757853b949-1918c7c-9fe3-7acc,"Valledupar, Cesar",3 habitaciones,4 baños,190 m²,Casa,3,$ 680.000.000
https://www.properati.com.co/detalle/14032-32-98a0-d803a9c49f85-4434f42d-aae7-4c05,"Valledupar, Cesar",3 habitaciones,3 baños,126 m²,Casa,3,$ 249.481.872
https://www.properati.com.co/detalle/14032-32-40e4-afadf5699b2d-1922c49-9d33-7473,"Valledupar, Cesar",N/A,N/A,N/A,Casa,3,$ 200.000.000
https://www.properati.com.co/detalle/14032-32-8cc3-85dcf98db77-a93283f8-91de-3141,"Valledupar, Cesar",5 habitaciones,6 baños,507 m²,Casa,N/A,$ 900.000.000
https://www.properati.com.co/detalle/14032-32-a0f7-93a9f51af1d3-191c16c-81de-7737,"Valledupar, Cesar",N/A,N/A,N/A,Casa,3,$ 385.000.000
https://www.properati.com.co/detalle/14032-32-7f97-a46fc0c7e07e-19080fa-be23-7581,"Valledupar, Cesar",N/A,N/A,N/A,Casa,3,$ 260.000.000
