URL,Location,Bedrooms,Bathrooms,Area,Property Type,Stratum,Price
https://www.properati.com.co/detalle/14032-32-3e29-31700389aae6-191f388-a1ad-7df6,"Villavicencio, Meta",3 habitaciones,3 baños,130 m²,Casa,N/A,$ 350.000.000
https://www.properati.com.co/detalle/14032-32-17ff-3f7243cca0ab-214d16f0-9bd4-1eee,"Villavicencio, Meta",3 habitaciones,2 baños,84 m²,Casa,2,$ 125.000.000
https://www.properati.com.co/detalle/14032-32-e25c-acd655f1f03e-191ded6-a873-7568,"Villavicencio, Meta",N/A,N/A,N/A,Casa,3,$ 380.000.000
https://www.properati.com.co/detalle/14032-32-3673-9cc6a8da95ca-7a9d6a68-a029-3e1d,"Villavicencio, Meta",5 habitaciones,4 baños,395 m²,Casa,3,$ 580.000.000
https://www.properati.com.co/detalle/14032-32-9258-eb1fe626dea3-18f8e7a-8c75-708e,"Villavicencio, Meta",4 habitaciones,4 baños,350 m²,Casa,N/A,$ 1.150.000.000
https://www.properati.com.co/detalle/14032-32-ff92-615e9ea22654-18f560c-a41d-78b5,"Villavicencio, Meta",4 habitaciones,4 baños,234 m²,Casa,N/A,$ 780.000.000
https://www.properati.com.co/detalle/14032-32-1778-3800f49e146a-18f4f97-89d5-73c8,"Villavicencio, Meta",3 habitaciones,4 baños,180 m²,Casa,N/A,$ 950.000.000
https://www.properati.com.co/detalle/14032-32-fa9e-502c55f48887-af291571-9c68-36d6,"Villavicencio, Meta",7 habitaciones,4 baños,328 m²,Casa,N/A,$ 517.055.000
https://www.properati.com.co/detalle/14032-32-1581-7f62706ff0b6-81e9fc55-ac67-4875,"Villavicencio, Meta",N/A,N/A,N/A,Casa,N/A,$ 519.000.000
https://www.properati.com.co/detalle/14032-32-20d1-b4eafeff78ca-192488b-a8a4-7ce9,"Villavicencio, Meta",3 habitaciones,3 baños,103 m²,Casa,N/A,$ 300.000.000
https://www.properati.com.co/detalle/14032-32-e30f-7bc1b987291a-1917bde-91ba-735c,"Villavicencio, Meta",3 habitaciones,4 baños,118 m²,Casa,3,$ 290.000.000
https://www.properati.com.co/detalle/14032-32-e12-b7ebf6bb6426-4e685017-89de-4ba6,"Villavicencio, Meta",N/A,N/A,N/A,Casa,4,$ 1.950.000.000
