Location,Bedrooms,Bathrooms,Area,Type,Stratum,Price
Armenia,4.0,3.0,222.0,Apartment,6.0,970.0
Armenia,5.0,3.0,147.0,House,3.0,350.0
Armenia,3.0,3.0,115.0,House,4.0,470.0
Armenia,3.0,2.0,100.0,House,3.0,190.0
Armenia,3.0,2.0,68.0,Apartment,5.0,300.0
Armenia,3.0,2.0,65.0,Apartment,4.0,210.0
Armenia,3.0,3.0,115.54558432557913,Apartment,5.0,530.0
Armenia,3.0,2.0,78.0,Apartment,5.0,425.0
Armenia,1.0,1.0,33.0,Apartment,4.0,130.0
Armenia,3.0,3.0,200.0,House,5.0,900.0
Armenia,3.0,2.0,60.0,Apartment,4.0,220.0
Armenia,3.0,4.0,157.0,Apartment,5.0,908.0
Armenia,1.0,1.0,17.0,Apartment,4.0,78.0
Armenia,3.0,3.0,115.0,House,4.0,420.0
Armenia,3.0,3.0,210.0,Apartment,5.0,1150.0
Armenia,5.0,4.0,230.0,House,6.0,1300.0
Armenia,3.0,2.0,140.0,Apartment,6.0,470.0
Armenia,3.0,2.0,136.0,House,5.0,520.0
Armenia,3.0,2.0,90.0,Apartment,5.0,460.0
Armenia,4.0,4.0,260.0,House,5.0,950.0
Armenia,2.0,2.0,95.0,Apartment,5.0,520.0
Armenia,3.0,3.0,145.0,Apartment,6.0,720.0
Armenia,2.0,2.0,73.0,Apartment,6.0,360.0
Armenia,2.0,2.0,70.0,Apartment,5.0,400.0
Armenia,5.0,4.0,400.0,House,5.0,1170.0
Armenia,3.0,3.0,147.0,Apartment,5.0,965.0
Armenia,2.0,3.0,104.0,Apartment,3.0,400.0
Armenia,4.0,3.0,174.0,House,5.0,890.0
Armenia,2.0,2.0,56.0,Apartment,3.0,170.0
Armenia,1.0,1.0,36.0,Apartment,6.0,230.0
Armenia,2.0,2.0,45.0,Apartment,4.0,205.0
Armenia,3.0,2.0,81.0,Apartment,5.0,455.0
Armenia,2.0,2.0,280.0,House,3.0,280.0
Armenia,2.0,2.0,102.0,Apartment,6.0,750.0
Armenia,3.0,2.0,77.0,Apartment,4.0,280.0
Armenia,5.0,3.0,159.0,Apartment,3.0,250.0
Armenia,3.0,2.0,102.0,House,3.0,280.0
Armenia,3.0,3.0,110.0,House,5.0,230.0
Armenia,4.0,2.0,72.0,House,3.0,180.0
Armenia,2.0,2.0,57.0,Apartment,5.0,340.0
Armenia,9.0,6.0,1.7,House,3.0,2000.0
Armenia,2.0,2.0,57.0,Apartment,5.0,300.0
Armenia,3.0,2.0,84.0,Apartment,4.0,380.0
Armenia,3.0,3.0,96.46474260562672,Apartment,5.0,215.0
Armenia,2.0,1.0,47.0,Apartment,3.0,98.0
Armenia,4.0,5.0,250.0,Apartment,6.0,1700.0
Armenia,4.0,3.0,120.0,House,2.0,186.2
Armenia,3.0,4.0,156.92588897646823,House,5.0,1350.0
Armenia,3.0,2.0,82.0,Apartment,5.0,470.0
Armenia,4.0,3.0,149.5044042571725,House,3.0,650.0
Armenia,1.0,1.0,36.0,Apartment,5.0,210.0
Armenia,3.0,3.0,151.09677212959463,House,5.0,950.0
Armenia,2.0,1.0,66.0,Apartment,3.0,150.0
Armenia,3.0,2.0,85.0,House,2.0,250.0
Armenia,3.0,3.0,150.0,House,5.0,700.0
Armenia,2.0,2.0,69.0,Apartment,5.0,370.0
Armenia,2.0,2.0,65.0,Apartment,5.0,450.0
Armenia,3.0,3.0,175.0,House,6.0,650.0
Armenia,1.0,1.0,42.0,Apartment,5.0,257.235
Armenia,4.0,3.0,240.0,House,5.0,880.0
Armenia,3.0,3.0,83.0,Apartment,4.0,280.0
Armenia,2.0,2.0,89.0,Apartment,5.0,520.0
Armenia,3.0,3.0,155.0,Apartment,5.0,650.0
Armenia,3.0,2.0,104.0,Apartment,5.0,399.0
Armenia,2.0,2.0,70.0,Apartment,5.0,352.0
Armenia,4.0,3.0,126.14298572379616,House,3.0,400.0
Armenia,3.0,2.0,66.0,Apartment,4.0,320.0
Armenia,8.0,8.0,1.5,House,3.0,1400.0
Armenia,5.0,5.0,139.7379589568511,House,5.0,7950.0
Armenia,3.0,3.0,108.0,House,4.0,550.0
Armenia,3.0,2.0,76.0,Apartment,3.0,220.0
Armenia,1.0,1.0,38.0,Apartment,4.0,280.0
Armenia,4.0,3.0,163.0,House,5.0,500.0
Armenia,3.0,2.0,81.0,Apartment,5.0,320.0
Armenia,3.0,2.0,110.0,Apartment,4.0,350.0
Armenia,3.0,2.0,77.0,Apartment,4.0,285.0
Armenia,5.0,7.0,711.0,House,6.0,2900.0
Armenia,5.0,3.0,170.0,House,3.0,260.0
Armenia,6.0,4.0,250.0,House,4.0,600.0
Armenia,3.0,3.0,108.0,Apartment,5.0,425.0
Armenia,1.0,1.0,36.0,Apartment,5.0,225.0
Armenia,3.0,2.0,59.0,Apartment,4.0,250.0
Armenia,3.0,3.0,95.0,House,5.0,380.0
Armenia,1.0,1.0,40.0,Apartment,6.0,205.0
Armenia,3.0,4.0,214.0,House,6.0,2900.0
Armenia,3.0,2.0,115.0,Apartment,4.0,510.0
Armenia,5.0,2.0,244.0,House,3.0,390.0
Armenia,3.0,2.0,67.0,Apartment,5.0,330.0
Armenia,3.0,2.0,70.0,Apartment,3.0,230.0
Armenia,3.0,3.0,137.52490078918325,House,5.0,780.0
Armenia,1.0,2.0,50.0,Apartment,5.0,237.665
Armenia,4.0,4.0,231.0,Apartment,5.0,800.0
Armenia,4.0,4.0,127.0,Apartment,4.0,260.000008
Armenia,2.0,2.0,120.0,House,3.0,195.0
Armenia,3.0,3.0,98.0,House,4.0,390.0
Armenia,2.0,2.0,47.0,Apartment,5.0,222.48
Armenia,6.0,8.0,380.0,House,5.0,1700.0
Armenia,6.0,7.0,584.0,House,6.0,2200.0
Armenia,3.0,3.0,100.0,House,5.0,450.0
Armenia,3.0,2.0,90.0,Apartment,5.0,300.0
Armenia,1.0,2.0,42.0,Apartment,5.0,230.0
Armenia,3.0,2.0,86.0,Apartment,5.0,597.0
Armenia,1.0,2.0,52.0,Apartment,5.0,320.0
Armenia,4.0,3.0,110.0,Apartment,6.0,640.0
Armenia,3.0,2.0,112.0,House,5.0,450.0
Armenia,2.0,2.0,89.0,Apartment,5.0,540.0
Armenia,4.0,4.0,169.0,Apartment,5.0,670.0
Armenia,3.0,4.0,320.0,House,6.0,2800.0
Armenia,3.0,2.0,99.01021866248774,Apartment,6.0,238.0
Armenia,3.0,4.0,155.0,Apartment,6.0,600.0
Armenia,5.0,7.0,550.0,House,6.0,3900.0
Armenia,3.0,3.0,70.0,Apartment,4.0,230.0
Armenia,3.0,3.0,1.8,House,5.0,1450.0
Armenia,3.0,2.0,73.0,Apartment,4.0,220.0
Armenia,3.0,4.0,300.0,Apartment,5.0,990.0
Armenia,4.0,3.0,157.0,Apartment,5.0,490.0
Armenia,3.0,3.0,141.0,Apartment,5.0,650.0
Armenia,3.0,3.0,137.46157113289863,House,5.0,16.0
Armenia,3.0,3.0,100.66617747834852,Apartment,5.0,310.0
Armenia,3.0,1.0,63.0,Apartment,3.0,170.0
Armenia,2.0,2.0,63.0,Apartment,3.0,220.0
Armenia,3.0,3.0,139.75355845892733,House,5.0,850.0
Armenia,2.0,2.0,50.0,Apartment,5.0,240.0
Armenia,3.0,2.0,268.0,Apartment,5.0,940.0
Armenia,3.0,2.0,64.0,Apartment,5.0,330.0
Armenia,3.0,4.0,324.0,House,5.0,3200.0
Armenia,3.0,2.0,59.0,Apartment,5.0,433.0
Armenia,2.0,2.0,59.0,Apartment,5.0,300.0
Armenia,2.0,2.0,104.0,Apartment,5.0,530.0
Armenia,2.0,2.0,66.0,Apartment,3.0,270.0
Armenia,3.0,2.0,57.0,Apartment,3.0,185.0
Armenia,2.0,2.0,75.0,Apartment,6.0,360.0
Armenia,1.0,2.0,46.0,Apartment,5.0,230.0
Armenia,3.0,2.0,68.0,Apartment,4.0,280.0
Armenia,4.0,4.0,200.0,House,5.0,750.0
Armenia,2.0,1.0,48.0,Apartment,5.0,198.0
Armenia,3.0,2.0,74.0,Apartment,6.0,390.0
Armenia,1.0,1.0,38.0,Apartment,6.0,280.0
Armenia,1.0,1.0,25.0,Apartment,3.0,140.0
Armenia,2.0,1.0,477.0,Apartment,1.0,120.0
Armenia,3.0,3.0,128.87562136887286,House,6.0,500.0
Armenia,2.0,2.0,48.0,Apartment,4.0,253.2
Armenia,5.0,4.0,297.0,House,6.0,1500.0
Armenia,3.0,3.0,134.92647105116868,House,6.0,2100.0
Armenia,4.0,2.0,74.0,House,2.0,170.0
Armenia,3.0,1.0,68.0,Apartment,4.0,155.0
Armenia,6.0,7.0,324.0,House,6.0,850.0
Armenia,3.0,2.0,61.0,Apartment,3.0,210.0
Armenia,3.0,2.0,74.0,Apartment,4.0,340.0
Armenia,2.0,2.0,62.0,Apartment,5.0,335.0
Armenia,3.0,2.0,114.0,House,3.0,240.0
Armenia,2.0,2.0,98.0,Apartment,5.0,490.0
Armenia,2.0,2.0,82.0,Apartment,5.0,452.0
Armenia,5.0,4.0,355.0,House,3.0,1700.0
Armenia,3.0,3.0,141.0,Apartment,5.0,650.0
Armenia,3.0,2.0,114.0,House,3.0,260.0
Armenia,2.0,2.0,89.0,Apartment,5.0,658.9602
Armenia,2.0,2.0,53.0,Apartment,4.0,198.0
Armenia,3.0,3.0,73.0,Apartment,3.0,220.0
Armenia,3.0,3.0,156.0,Apartment,4.0,908.0
Armenia,3.0,3.0,79.0,Apartment,5.0,340.0
Armenia,3.0,2.0,45.0,Apartment,4.0,240.0
Armenia,3.0,3.0,115.69904419202666,Apartment,6.0,780.0
Armenia,3.0,2.0,68.0,Apartment,5.0,429.0
Armenia,3.0,2.0,78.0,Apartment,4.0,430.0
Armenia,4.0,4.0,300.0,House,5.0,1390.0
Armenia,3.0,3.0,126.0,House,4.0,470.0
Armenia,3.0,3.0,240.0,House,5.0,900.0
Armenia,3.0,2.0,77.0,Apartment,5.0,410.0
Armenia,1.0,1.0,38.0,Apartment,5.0,220.0
Armenia,2.0,2.0,58.0,Apartment,5.0,240.0
Armenia,3.0,2.0,97.0,Apartment,5.0,520.0
Armenia,3.0,2.0,97.0,Apartment,5.0,533.91
Armenia,3.0,4.0,250.0,House,6.0,1150.0
Armenia,3.0,3.0,112.58698174449576,Apartment,6.0,456.564545
Armenia,2.0,2.0,45.0,Apartment,5.0,215.0
Armenia,2.0,2.0,79.0,Apartment,6.0,0.199
Armenia,2.0,2.0,105.0,Apartment,5.0,520.0
Armenia,3.0,2.0,114.0,Apartment,5.0,700.0
Armenia,3.0,3.0,93.55045211274994,Apartment,4.0,135.0
Armenia,2.0,1.0,44.0,Apartment,4.0,120.0
Armenia,4.0,4.0,127.0,Apartment,4.0,260.000008
Armenia,13.0,9.0,380.0,House,3.0,1100.0
Armenia,3.0,2.0,115.0,Apartment,4.0,530.0
Armenia,3.0,2.0,84.0,Apartment,5.0,425.0
Armenia,3.0,2.0,58.0,Apartment,3.0,169.0
Armenia,3.0,2.0,55.0,Apartment,1.0,240.0
Armenia,2.0,2.0,75.0,Apartment,5.0,260.0
Armenia,3.0,3.0,105.99768731720133,Apartment,4.0,400.0
Armenia,4.0,3.0,157.0,Apartment,5.0,490.0
Armenia,2.0,2.0,46.0,Apartment,4.0,230.0
Armenia,6.0,3.0,420.0,House,5.0,1300.0
Armenia,3.0,3.0,300.0,House,6.0,1600.0
Armenia,2.0,2.0,72.0,House,3.0,180.0
Armenia,5.0,3.0,220.0,House,5.0,1600.0
Armenia,2.0,2.0,50.0,Apartment,3.0,175.0
Armenia,3.0,2.0,69.0,Apartment,5.0,310.0
Armenia,4.0,5.0,230.0,House,5.0,1390.122
Armenia,3.0,2.0,72.0,Apartment,6.0,460.070508
Armenia,2.0,1.0,57.0,Apartment,4.0,140.0
Armenia,3.0,2.0,68.0,Apartment,5.0,260.0
Armenia,2.0,1.0,43.0,Apartment,3.0,155.0
Armenia,6.0,4.0,240.0,House,5.0,600.0
Armenia,3.0,2.0,68.0,Apartment,5.0,440.0
