Location,Bedrooms,Bathrooms,Type,Stratum,Area_transformed_log,Price_transformed_log
Armenia,4,3,Apartment,6.0,5.407171771460119,6.878326468291325
Armenia,5,3,House,3.0,4.997212273764115,5.860786223465865
Armenia,3,3,House,4.0,4.7535901911063645,6.154858094016418
Armenia,3,2,House,3.0,4.61512051684126,5.25227342804663
Armenia,3,2,Apartment,5.0,4.23410650459726,5.707110264748875
Armenia,3,2,Apartment,4.0,4.189654742026425,5.351858133476067
Armenia,3,3,Apartment,5.0,4.758282478239636,6.274762021241939
Armenia,3,2,Apartment,5.0,4.3694478524670215,6.054439346269371
Armenia,3,3,House,5.0,5.303304908059076,6.803505257608338
Armenia,3,2,Apartment,4.0,4.110873864173311,5.3981627015177525
Armenia,3,4,Apartment,5.0,5.062595033026967,6.812345094177479
Armenia,3,3,House,4.0,4.7535901911063645,6.042632833682381
Armenia,3,3,Apartment,5.0,5.351858133476067,7.048386408721883
Armenia,5,4,House,6.0,5.442417710521793,7.170888478512505
Armenia,3,2,Apartment,6.0,4.948759890378168,6.154858094016418
Armenia,3,2,House,5.0,4.919980925828125,6.255750041753367
Armenia,3,2,Apartment,5.0,4.51085950651685,6.133398042996649
Armenia,4,4,House,5.0,5.564520407322694,6.85751406254539
Armenia,2,2,Apartment,5.0,4.564348191467836,6.255750041753367
Armenia,3,3,Apartment,6.0,4.983606621708336,6.580639137284949
Armenia,2,2,Apartment,6.0,4.30406509320417,5.8888779583328805
Armenia,2,2,Apartment,5.0,4.2626798770413155,5.993961427306569
Armenia,5,4,House,5.0,5.993961427306569,7.065613363597717
Armenia,3,3,Apartment,5.0,4.997212273764115,6.873163834212518
Armenia,2,3,Apartment,3.0,4.653960350157523,5.993961427306569
Armenia,4,3,House,5.0,5.1647859739235145,6.792344427470809
Armenia,2,2,Apartment,3.0,4.04305126783455,5.14166355650266
Armenia,2,2,Apartment,4.0,3.828641396489095,5.327876168789581
Armenia,3,2,Apartment,5.0,4.406719247264253,6.1224928095143865
Armenia,2,2,House,3.0,5.638354669333745,5.638354669333745
Armenia,2,2,Apartment,6.0,4.634728988229636,6.621405651764134
Armenia,3,2,Apartment,4.0,4.356708826689592,5.638354669333745
Armenia,5,3,Apartment,3.0,5.075173815233827,5.5254529391317835
Armenia,3,2,House,3.0,4.634728988229636,5.638354669333745
Armenia,3,3,House,5.0,4.709530201312334,5.442417710521793
Armenia,4,2,House,3.0,4.290459441148391,5.198497031265826
Armenia,2,2,Apartment,5.0,4.060443010546419,5.831882477283517
Armenia,2,2,Apartment,5.0,4.060443010546419,5.707110264748875
Armenia,3,2,Apartment,4.0,4.442651256490317,5.942799375126701
Armenia,3,3,Apartment,5.0,4.579490698304319,5.375278407684165
Armenia,2,1,Apartment,3.0,3.871201010907891,4.59511985013459
Armenia,4,3,House,2.0,4.795790545596741,5.232177564043492
Armenia,3,4,House,5.0,5.062125865874307,7.208600337960199
Armenia,3,2,Apartment,5.0,4.418840607796598,6.154858094016418
Armenia,4,3,House,3.0,5.013992347928002,6.478509642208569
Armenia,3,3,House,5.0,5.024516977012408,6.85751406254539
Armenia,2,1,Apartment,3.0,4.204692619390966,5.017279836814924
Armenia,3,2,House,2.0,4.454347296253507,5.5254529391317835
Armenia,3,3,House,5.0,5.017279836814924,6.55250788703459
Armenia,2,2,Apartment,5.0,4.248495242049359,5.916202062607435
Armenia,2,2,Apartment,5.0,4.189654742026425,6.111467339502679
Armenia,3,3,House,6.0,5.170483995038151,6.478509642208569
Armenia,4,3,House,5.0,5.484796933490655,6.78105762593618
Armenia,3,3,Apartment,4.0,4.430816798843313,5.638354669333745
Armenia,2,2,Apartment,5.0,4.499809670330265,6.255750041753367
Armenia,3,3,Apartment,5.0,5.049856007249537,6.478509642208569
Armenia,3,2,Apartment,5.0,4.653960350157523,5.991464547107982
Armenia,2,2,Apartment,5.0,4.2626798770413155,5.8664680569332965
Armenia,4,3,House,3.0,4.845312324981117,5.993961427306569
Armenia,3,2,Apartment,4.0,4.204692619390966,5.771441123130016
Armenia,3,3,House,4.0,4.6913478822291435,6.311734809152915
Armenia,3,2,Apartment,3.0,4.343805421853684,5.3981627015177525
Armenia,4,3,House,5.0,5.099866427824199,6.2166061010848646
Armenia,3,2,Apartment,5.0,4.406719247264253,5.771441123130016
Armenia,3,2,Apartment,4.0,4.709530201312334,5.860786223465865
Armenia,3,2,Apartment,4.0,4.356708826689592,5.655991810819852
Armenia,5,3,House,3.0,5.14166355650266,5.564520407322694
Armenia,3,3,Apartment,5.0,4.6913478822291435,6.054439346269371
Armenia,3,2,Apartment,4.0,4.0943445622221,5.5254529391317835
Armenia,3,3,House,5.0,4.564348191467836,5.942799375126701
Armenia,3,4,House,6.0,5.3706380281276624,7.972810784121404
Armenia,3,2,Apartment,4.0,4.7535901911063645,6.236369590203704
Armenia,5,2,House,3.0,5.501258210544727,5.968707559985366
Armenia,3,2,Apartment,5.0,4.219507705176107,5.802118375377063
Armenia,3,2,Apartment,3.0,4.2626798770413155,5.442417710521793
Armenia,3,3,House,5.0,4.931050098558847,6.660575149839686
Armenia,4,4,Apartment,5.0,5.44673737166631,6.68586094706836
Armenia,4,4,Apartment,4.0,4.852030263919617,5.564520437974034
Armenia,2,2,House,3.0,4.795790545596741,5.278114659230517
Armenia,3,3,House,4.0,4.59511985013459,5.968707559985366
Armenia,2,2,Apartment,5.0,3.871201010907891,5.409321924590948
Armenia,3,3,House,5.0,4.61512051684126,6.111467339502679
Armenia,3,2,Apartment,5.0,4.51085950651685,5.707110264748875
Armenia,3,2,Apartment,5.0,4.465908118654584,6.393590753950631
Armenia,4,3,Apartment,6.0,4.709530201312334,6.46302945692067
Armenia,3,2,House,5.0,4.727387818712341,6.111467339502679
Armenia,2,2,Apartment,5.0,4.499809670330265,6.293419278846481
Armenia,4,4,Apartment,5.0,5.135798437050262,6.508769136971682
Armenia,3,4,House,6.0,5.771441123130016,7.937731775260109
Armenia,3,2,Apartment,6.0,4.6052723673922715,5.476463551931511
Armenia,3,4,Apartment,6.0,5.049856007249537,6.398594934535208
Armenia,3,3,Apartment,4.0,4.2626798770413155,5.442417710521793
Armenia,3,3,House,5.0,1.0296194171811581,7.280008252884188
Armenia,3,2,Apartment,4.0,4.30406509320417,5.3981627015177525
Armenia,3,4,Apartment,5.0,5.707110264748875,6.898714534329988
Armenia,4,3,Apartment,5.0,5.062595033026967,6.19644412779452
Armenia,3,3,Apartment,5.0,4.955827057601261,6.478509642208569
Armenia,3,3,House,5.0,4.930592822382515,2.833213344056216
Armenia,3,3,Apartment,5.0,4.6216946762393505,5.739792912179234
Armenia,3,1,Apartment,3.0,4.1588830833596715,5.14166355650266
Armenia,2,2,Apartment,3.0,4.1588830833596715,5.3981627015177525
Armenia,3,3,House,5.0,4.9470105488240295,6.7464121285733745
Armenia,2,2,Apartment,5.0,3.9318256327243257,5.484796933490655
Armenia,3,2,Apartment,5.0,5.594711379601839,6.846943139585379
Armenia,3,2,Apartment,5.0,4.174387269895637,5.802118375377063
Armenia,3,4,House,5.0,5.783825182329737,8.071218539969863
Armenia,3,2,Apartment,5.0,4.0943445622221,6.073044534100405
Armenia,2,2,Apartment,5.0,4.0943445622221,5.707110264748875
Armenia,2,2,Apartment,5.0,4.653960350157523,6.274762021241939
Armenia,2,2,Apartment,3.0,4.204692619390966,5.602118820879701
Armenia,3,2,Apartment,3.0,4.060443010546419,5.225746673713202
Armenia,2,2,Apartment,6.0,4.330733340286331,5.8888779583328805
Armenia,3,2,Apartment,4.0,4.23410650459726,5.638354669333745
Armenia,4,4,House,5.0,5.303304908059076,6.621405651764134
Armenia,2,1,Apartment,5.0,3.8918202981106265,5.293304824724492
Armenia,3,2,Apartment,6.0,4.31748811353631,5.968707559985366
Armenia,2,1,Apartment,1.0,6.169610732491456,4.795790545596741
Armenia,3,3,House,6.0,4.8665772337688535,6.2166061010848646
Armenia,2,2,Apartment,4.0,3.8918202981106265,5.538121358755354
Armenia,5,4,House,6.0,5.697093486505405,7.313886831633462
Armenia,3,3,House,6.0,4.9121140854944345,7.650168700845001
Armenia,4,2,House,2.0,4.31748811353631,5.14166355650266
Armenia,3,1,Apartment,4.0,4.23410650459726,5.049856007249537
Armenia,3,2,Apartment,3.0,4.127134385045092,5.351858133476067
Armenia,3,2,Apartment,4.0,4.31748811353631,5.831882477283517
Armenia,2,2,Apartment,5.0,4.143134726391533,5.817111159963204
Armenia,3,2,House,3.0,4.74493212836325,5.484796933490655
Armenia,2,2,Apartment,5.0,4.59511985013459,6.19644412779452
Armenia,2,2,Apartment,5.0,4.418840607796598,6.115892125483034
Armenia,5,4,House,3.0,5.87493073085203,7.438971592395862
Armenia,3,3,Apartment,5.0,4.955827057601261,6.478509642208569
Armenia,3,2,House,3.0,4.74493212836325,5.564520407322694
Armenia,2,2,Apartment,5.0,4.499809670330265,6.492179530171867
Armenia,2,2,Apartment,4.0,3.9889840465642745,5.293304824724492
Armenia,3,3,Apartment,3.0,4.30406509320417,5.3981627015177525
Armenia,3,3,Apartment,4.0,5.056245805348308,6.812345094177479
Armenia,3,3,Apartment,5.0,4.382026634673881,5.831882477283517
Armenia,3,2,Apartment,4.0,3.828641396489095,5.484796933490655
Armenia,3,3,Apartment,6.0,4.759598348959284,6.660575149839686
Armenia,3,2,Apartment,5.0,4.23410650459726,6.063785208687608
Armenia,3,2,Apartment,4.0,4.3694478524670215,6.066108090103747
Armenia,4,4,House,5.0,5.707110264748875,7.237778191923443
Armenia,3,3,House,4.0,4.844187086458591,6.154858094016418
Armenia,3,3,House,5.0,5.484796933490655,6.803505257608338
Armenia,3,2,Apartment,5.0,4.356708826689592,6.018593214496234
Armenia,2,2,Apartment,5.0,4.07753744390572,5.484796933490655
Armenia,3,2,Apartment,5.0,4.584967478670572,6.255750041753367
Armenia,3,2,Apartment,5.0,4.584967478670572,6.282098508445647
Armenia,3,4,House,6.0,5.5254529391317835,7.048386408721883
Armenia,3,3,Apartment,6.0,4.732568902400697,6.125917956731664
Armenia,2,2,Apartment,5.0,3.828641396489095,5.375278407684165
Armenia,2,2,Apartment,6.0,4.382026634673881,0.1814878760453772
Armenia,2,2,Apartment,5.0,4.663439094112067,6.255750041753367
Armenia,3,2,Apartment,5.0,4.74493212836325,6.55250788703459
Armenia,3,3,Apartment,4.0,4.5491335768249215,4.912654885736052
Armenia,2,1,Apartment,4.0,3.8066624897703196,4.795790545596741
Armenia,4,4,Apartment,4.0,4.852030263919617,5.564520437974034
Armenia,3,2,Apartment,4.0,4.7535901911063645,6.274762021241939
Armenia,3,2,Apartment,5.0,4.442651256490317,6.054439346269371
Armenia,3,2,Apartment,3.0,4.07753744390572,5.135798437050262
Armenia,3,2,Apartment,1.0,4.02535169073515,5.484796933490655
Armenia,2,2,Apartment,5.0,4.330733340286331,5.564520407322694
Armenia,3,3,Apartment,4.0,4.672807220370392,5.993961427306569
Armenia,4,3,Apartment,5.0,5.062595033026967,6.19644412779452
Armenia,2,2,Apartment,4.0,3.8501476017100584,5.442417710521793
Armenia,3,3,House,6.0,5.707110264748875,7.3783837129967145
Armenia,2,2,House,3.0,4.290459441148391,5.198497031265826
Armenia,5,3,House,5.0,5.3981627015177525,7.3783837129967145
Armenia,2,2,Apartment,3.0,3.9318256327243257,5.170483995038151
Armenia,3,2,Apartment,5.0,4.248495242049359,5.739792912179234
Armenia,3,2,Apartment,6.0,4.290459441148391,6.133550977071701
Armenia,2,1,Apartment,4.0,4.060443010546419,4.948759890378168
Armenia,3,2,Apartment,5.0,4.23410650459726,5.564520407322694
Armenia,2,1,Apartment,3.0,3.784189633918261,5.049856007249537
Armenia,3,2,Apartment,5.0,4.23410650459726,6.089044875446846
Armenia,3,2,Apartment,5.0,4.454347296253507,5.707110264748875
Armenia,3,2,Apartment,3.0,3.9889840465642745,4.983606621708336
Armenia,2,1,Apartment,4.0,4.060443010546419,5.375278407684165
Armenia,3,3,Apartment,6.0,4.6913478822291435,5.802118375377063
Armenia,4,2,House,2.0,4.51085950651685,4.875197323201151
Armenia,2,2,Apartment,5.0,3.8918202981106265,5.5053315359323625
Armenia,3,2,Apartment,5.0,4.430816798843313,5.942799375126701
Armenia,3,2,Apartment,3.0,4.110873864173311,5.2278949022514904
Armenia,4,2,House,4.0,5.739792912179234,6.7464121285733745
Armenia,3,2,House,3.0,4.204692619390966,5.318119993844216
Armenia,2,3,Apartment,5.0,4.74493212836325,6.594413459749778
Armenia,3,2,Apartment,4.0,4.189654742026425,5.3981627015177525
Armenia,3,3,Apartment,6.0,5.241747015059643,6.803505257608338
Armenia,2,2,Apartment,5.0,4.04305126783455,5.926320970961541
Armenia,2,2,Apartment,4.0,3.9318256327243257,5.375278407684165
Armenia,3,2,Apartment,4.0,4.04305126783455,5.484796933490655
Armenia,3,3,House,3.0,5.198497031265826,5.755742213586912
Armenia,3,3,Apartment,5.0,4.795790545596741,6.293419278846481
Armenia,3,2,Apartment,4.0,4.430816798843313,6.224756429474007
Armenia,3,2,Apartment,5.0,4.51085950651685,6.364750756851911
Armenia,3,3,House,5.0,5.062595033026967,6.364750756851911
Armenia,4,3,House,6.0,5.303304908059076,6.398594934535208
Armenia,5,4,House,6.0,5.771441123130016,7.313886831633462
Armenia,2,1,Apartment,3.0,3.784189633918261,4.90527477843843
Armenia,3,3,House,6.0,4.8665772337688535,6.22455842927536
Armenia,3,2,Apartment,4.0,4.51085950651685,5.5053315359323625
Armenia,5,3,Apartment,5.0,5.541263545158426,6.7464121285733745
Armenia,4,3,House,3.0,5.236441962829949,6.55250788703459
Armenia,3,2,House,3.0,5.2832037287379885,5.707110264748875
Armenia,3,1,Apartment,4.0,4.174387269895637,5.25227342804663
Armenia,4,2,Apartment,4.0,4.672828834461906,5.902633333401366
Armenia,3,3,House,5.0,4.59511985013459,6.111467339502679
Armenia,3,3,House,5.0,5.733341276897746,7.280008252884188
Armenia,2,2,Apartment,5.0,4.499809670330265,6.154858094016418
Armenia,5,1,House,3.0,4.454347296253507,5.442417710521793
Armenia,3,2,Apartment,3.0,4.060443010546419,5.25227342804663
Armenia,4,3,House,4.0,4.923892956917131,6.46302945692067
Armenia,4,3,House,4.0,4.9986482536911865,6.311734809152915
Armenia,3,2,Apartment,5.0,4.382026634673881,5.673323267171493
Armenia,4,3,House,5.0,4.948759890378168,6.26530121273771
Armenia,4,4,House,5.0,5.14166355650266,6.580639137284949
Armenia,4,3,Apartment,4.0,5.14166355650266,6.042632833682381
Armenia,3,2,Apartment,3.0,4.31748811353631,4.912654885736052
Armenia,2,3,Apartment,6.0,4.374209104098217,8.512381634419015
Armenia,3,3,House,5.0,4.890349128221754,6.111467339502679
Armenia,3,3,Apartment,5.0,4.709530201312334,6.311734809152915
Armenia,3,2,Apartment,4.0,4.127134385045092,5.43372200355424
Armenia,3,2,Apartment,5.0,4.394449154672439,6.042632833682381
Armenia,3,3,Apartment,6.0,4.69187373000777,5.916202062607435
Armenia,3,2,Apartment,5.0,4.2626798770413155,5.993961427306569
Armenia,2,2,Apartment,4.0,3.871201010907891,5.3981627015177525
Armenia,3,3,House,6.0,5.0558260557195425,7.3783837129967145
Armenia,3,3,Apartment,6.0,4.948759890378168,5.860786223465865
Armenia,3,3,Apartment,3.0,4.578889714150445,5.123963979403259
Armenia,3,3,Apartment,5.0,4.983606621708336,6.8885724595653635
Armenia,3,4,House,5.0,4.927253685157205,6.311734809152915
Armenia,3,2,Apartment,5.0,4.532599493153256,5.8888779583328805
Armenia,4,3,House,3.0,4.394449154672439,5.802118375377063
Armenia,3,3,House,3.0,5.303304908059076,5.723585101952381
Armenia,4,3,House,3.0,4.666612795049964,5.442417710521793
Armenia,3,3,House,5.0,5.3612921657094255,7.244941546337007
Armenia,3,3,House,3.0,4.736198448394496,6.111467339502679
Armenia,2,1,Apartment,2.0,3.7376696182833684,4.795790545596741
Armenia,3,2,Apartment,5.0,4.948759890378168,6.255750041753367
Armenia,3,2,Apartment,4.0,4.727387818712341,5.772609474609452
Armenia,3,3,Apartment,5.0,4.844187086458591,6.660575149839686
Armenia,3,2,Apartment,4.0,4.060443010546419,5.187385805840755
Armenia,3,2,Apartment,5.0,4.442651256490317,5.707110264748875
Armenia,3,3,Apartment,5.0,4.543294782270004,6.154858094016418
Armenia,2,1,Apartment,3.0,3.8066624897703196,4.6913478822291435
Armenia,5,4,House,3.0,5.14166355650266,6.311734809152915
Armenia,4,4,Apartment,6.0,5.6240175061873385,6.478509642208569
Armenia,4,3,Apartment,5.0,5.017279836814924,6.175867270105761
Armenia,3,2,House,4.0,4.543294782270004,5.771441123130016
Armenia,2,2,Apartment,5.0,4.219507705176107,5.955837369464831
Armenia,5,3,House,1.0,5.170483995038151,5.993961427306569
Armenia,3,2,House,3.0,4.2626798770413155,5.14166355650266
Armenia,3,3,Apartment,5.0,4.634728988229636,6.621405651764134
Armenia,3,3,House,5.0,5.108405963599211,7.601402334583733
Armenia,2,1,Apartment,5.0,4.02535169073515,5.771441123130016
Armenia,3,3,Apartment,5.0,4.795790545596741,6.376726947898627
Armenia,4,2,House,3.0,5.1298987149230735,6.431331081933479
Armenia,3,2,Apartment,5.0,4.174387269895637,5.707110264748875
Armenia,3,1,Apartment,3.0,3.9512437185814275,4.875197323201151
Armenia,4,3,House,5.0,4.454347296253507,5.860786223465865
Armenia,3,3,House,5.0,5.3981627015177525,6.957497370876951
Armenia,4,1,House,3.0,4.948759890378168,5.755742213586912
Armenia,3,2,Apartment,6.0,4.290459441148391,5.916202062607435
Armenia,3,3,Apartment,5.0,4.653960350157523,5.707110264748875
Armenia,2,2,Apartment,5.0,3.8918202981106265,5.5053315359323625
Armenia,3,2,Apartment,5.0,4.07753744390572,5.583496308781699
Armenia,3,3,House,5.0,4.948759890378168,6.7464121285733745
Armenia,4,2,House,4.0,4.59511985013459,5.968707559985366
Armenia,3,2,Apartment,3.0,4.564276654418955,4.867534450455582
